,Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
67,64,Nico Daws,23.0,NJD,G,21,20,9,11,0,60,568,508,0.894,3.15,0,1144:03,10,0.5,6,109.0,-5.1,3.25,2.7,0,1,1,0,
68,65,Daniel Vladař,26.0,CGY,G,20,19,8,9,2,68,574,506,0.882,3.62,0,1128:31,8,0.421,6,123.0,-12.5,3.72,2.0,0,0,0,0,
69,66,Ville Husso,28.0,DET,G,19,18,9,5,2,60,556,496,0.892,3.55,0,1012:55,6,0.333,5,112.0,-6.3,3.67,2.6,0,1,1,0,
70,67,Akira Schmid,23.0,NJD,G,19,15,5,9,1,48,457,409,0.895,3.15,0,914:09,5,0.333,4,109.0,-3.8,3.28,2.2,0,2,2,2,
71,68,Spencer Martin,28.0,2TM,G,19,16,7,9,2,59,533,474,0.889,3.3,0,1072:13,7,0.438,5,115.0,-7.5,3.36,2.3,0,0,0,0,
72,68,Spencer Martin,28.0,CBJ,G,13,10,3,8,1,43,379,336,0.887,3.65,0,707:13,3,0.3,3,117.0,-6.4,3.73,1.5,0,0,0,0,
73,68,Spencer Martin,28.0,CAR,G,6,6,4,1,1,16,154,138,0.896,2.63,0,365:00,4,0.667,2,107.0,-1.1,2.63,0.8,0,0,0,0,
74,69,Dustin Wolf,22.0,CGY,G,17,15,7,7,1,50,467,417,0.893,3.16,0,950:30,7,0.467,2,111.0,-4.9,3.28,2.2,0,0,0,0,
75,70,Frederik Andersen,34.0,CAR,G,16,16,13,2,0,28,410,382,0.932,1.84,3,912:53,12,0.75,2,71.0,11.6,1.91,3.5,0,1,1,0,
76,71,Justus Annunen,23.0,COL,G,14,12,8,4,1,30,414,384,0.928,2.25,2,801:05,8,0.667,0,75.0,10.0,2.32,3.4,0,0,0,0,
77,72,Ivan Prosvetov,24.0,COL,G,11,8,4,3,1,26,248,222,0.895,3.16,0,494:11,4,0.5,3,108.0,-2.0,3.28,1.2,0,0,0,0,
78,73,Eric Comrie,28.0,BUF,G,10,10,2,7,0,32,254,222,0.874,3.69,0,519:54,3,0.3,5,130.0,-7.4,3.81,0.7,0,0,0,0,
79,74,Magnus Chrona,23.0,SJS,G,9,8,1,6,1,37,262,225,0.859,4.71,0,471:15,3,0.375,5,146.0,-11.7,4.84,0.3,0,0,0,0,
80,75,Jet Greaves,22.0,CBJ,G,9,8,3,6,0,30,327,297,0.908,3.49,0,515:52,5,0.625,2,95.0,1.6,3.61,2.0,0,0,0,0,
81,76,Pheonix Copley,32.0,LAK,G,8,8,4,1,2,23,177,154,0.87,3.16,1,436:17,2,0.25,3,134.0,-5.9,3.3,0.4,0,0,0,0,
