,Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
52,49,Pheonix Copley,27.0,WSH,G,27,24,16,7,3,74,776,702,0.905,2.9,1,1528:56,14,0.583,4,106.0,-4.1,3.1,3.9,0,1,1,0,
53,50,Joonas Korpisalo,24.0,CBJ,G,27,21,10,7,3,67,651,584,0.897,2.95,0,1360:34,8,0.381,4,114.0,-8.3,3.13,2.7,0,0,0,0,
54,51,Louis Domingue,26.0,TBL,G,26,26,21,5,0,75,812,737,0.908,2.88,0,1560:37,14,0.538,2,102.0,-1.8,3.08,4.3,0,1,1,4,
55,52,Brian Elliott,33.0,PHI,G,26,23,11,11,1,69,741,672,0.907,2.96,1,1396:43,12,0.522,4,103.0,-2.2,3.18,3.9,0,1,1,2,
56,53,Cory Schneider,32.0,NJD,G,26,23,6,13,4,70,718,648,0.903,3.06,1,1371:47,10,0.435,5,108.0,-5.3,3.28,3.4,0,0,0,0,
57,54,Aaron Dell,29.0,SJS,G,25,20,10,8,4,70,613,543,0.886,3.17,2,1323:17,6,0.3,6,127.0,-14.7,3.4,1.9,0,0,0,0,
58,55,Mackenzie Blackwood,22.0,NJD,G,23,21,10,10,0,55,669,614,0.918,2.61,2,1263:52,14,0.667,4,91.0,5.3,2.8,4.3,0,0,0,0,
59,56,Laurent Brossoit,25.0,WPG,G,21,19,13,6,2,49,652,603,0.925,2.52,1,1165:17,12,0.632,2,83.0,9.8,2.68,4.7,0,0,0,0,
60,57,Alex Stalock,31.0,MIN,G,21,16,6,8,3,53,525,472,0.899,2.99,0,1065:06,9,0.563,1,112.0,-5.7,3.21,2.3,0,2,2,4,
61,58,Malcolm Subban,25.0,VEG,G,21,20,8,10,2,60,612,552,0.902,2.93,1,1226:47,8,0.4,3,109.0,-4.8,3.13,2.9,0,0,0,4,
62,59,Ryan Miller,38.0,ANA,G,20,17,8,7,2,51,578,527,0.912,2.76,1,1108:48,10,0.588,2,98.0,1.1,2.92,3.3,0,0,0,0,
63,60,Garret Sparks,25.0,TOR,G,20,17,8,9,1,58,592,534,0.902,3.15,1,1104:42,8,0.471,3,109.0,-4.6,3.37,2.8,0,0,0,0,
64,61,Chad Johnson,32.0,2TM,G,19,11,2,11,0,49,406,357,0.879,3.63,1,810:29,3,0.273,3,134.0,-12.4,3.85,0.9,0,0,0,0,
65,61,Chad Johnson,32.0,STL,G,10,7,2,6,0,29,250,221,0.884,3.55,1,490:47,2,0.286,2,129.0,-6.5,3.79,0.7,0,0,0,0,
66,61,Chad Johnson,32.0,ANA,G,9,4,0,5,0,20,156,136,0.872,3.75,0,319:42,1,0.25,1,142.0,-5.9,3.94,0.2,0,0,0,0,
67,62,Anthony Stolarz,25.0,2TM,G,18,12,4,5,3,50,503,453,0.901,3.45,1,868:25,5,0.417,2,110.0,-4.7,3.66,2.3,0,0,0,0,
68,62,Anthony Stolarz,25.0,PHI,G,12,10,4,3,3,35,358,323,0.902,3.33,1,629:44,4,0.4,2,108.0,-2.7,3.53,1.7,0,0,0,0,
69,62,Anthony Stolarz,25.0,EDM,G,6,2,0,2,0,15,145,130,0.897,3.77,0,238:41,1,0.5,0,115.0,-1.9,4.02,0.6,0,0,0,0,
70,63,Antti Niemi,35.0,MTL,G,17,17,8,6,2,61,539,478,0.887,3.78,0,968:48,4,0.235,5,126.0,-12.4,4.03,1.7,0,1,1,0,
71,64,Calvin Pickard,26.0,2TM,G,17,12,4,6,2,48,384,336,0.875,3.86,1,746:48,4,0.333,4,139.0,-13.4,4.1,0.7,0,0,0,2,
72,64,Calvin Pickard,26.0,PHI,G,11,8,4,2,2,31,227,196,0.863,4.01,1,464:10,2,0.25,4,152.0,-10.5,4.27,0.1,0,0,0,2,
73,64,Calvin Pickard,26.0,ARI,G,6,4,0,4,0,17,157,140,0.892,3.61,0,282:38,2,0.5,0,120.0,-2.8,3.82,0.6,0,0,0,0,
74,65,Collin Delia,24.0,CHI,G,16,14,6,4,3,50,545,495,0.908,3.61,0,831:03,6,0.429,2,102.0,-0.9,3.83,2.9,0,0,0,0,
75,66,Adin Hill,22.0,ARI,G,13,11,7,5,0,32,322,290,0.901,2.76,1,696:21,4,0.364,1,110.0,-3.0,2.93,1.5,0,0,0,0,
76,67,Antti Raanta,29.0,ARI,G,12,12,5,6,0,33,351,318,0.906,2.88,0,687:06,6,0.5,1,104.0,-1.4,3.06,1.8,0,1,1,0,
77,68,Sam Montembeault,22.0,FLA,G,11,10,4,3,2,30,282,252,0.894,3.04,0,591:24,5,0.5,3,118.0,-4.6,3.25,1.1,0,1,1,0,
78,69,Calvin Petersen,24.0,LAK,G,11,10,5,4,1,27,355,328,0.924,2.61,1,621:42,6,0.6,1,84.0,5.0,2.8,2.5,0,0,0,0,
79,70,Mike McKenna,35.0,2TM,G,11,7,1,5,1,34,316,282,0.892,3.99,0,511:15,3,0.429,1,119.0,-5.5,4.22,1.2,0,0,0,0,
80,70,Mike McKenna,35.0,OTT,G,10,6,1,4,1,30,292,262,0.897,3.96,0,454:23,3,0.5,0,114.0,-3.7,4.23,1.2,0,0,0,0,
81,70,Mike McKenna,35.0,PHI,G,1,1,0,1,0,4,24,20,0.833,4.22,0,56:52,0,0.0,1,185.0,-1.8,4.22,-0.1,0,0,0,0,
82,71,Thatcher Demko,23.0,VAN,G,9,8,4,3,1,25,288,263,0.913,2.81,0,534:09,6,0.75,2,96.0,1.0,3.03,1.7,0,1,1,0,
83,72,Michael Hutchinson,28.0,2TM,G,9,8,3,4,2,27,239,212,0.887,3.27,1,496:10,2,0.25,2,125.0,-5.5,3.51,0.8,0,0,0,0,
84,72,Michael Hutchinson,28.0,FLA,G,4,3,1,1,2,14,87,73,0.839,4.17,0,201:14,0,0.0,2,179.0,-6.2,4.47,-0.2,0,0,0,0,
85,72,Michael Hutchinson,28.0,TOR,G,5,5,2,3,0,13,152,139,0.914,2.64,1,294:56,2,0.4,0,95.0,0.7,2.85,0.9,0,0,0,0,
86,73,Scott Darling,30.0,CAR,G,8,8,2,4,2,27,233,206,0.884,3.34,0,485:34,2,0.25,3,129.0,-6.0,3.58,0.7,0,0,0,0,
87,74,Michal Neuvirth,30.0,PHI,G,7,6,1,4,1,26,184,158,0.859,4.27,0,365:38,1,0.167,4,157.0,-9.4,4.59,0.0,0,0,0,0,
88,75,Kevin Boyle,26.0,ANA,G,5,4,1,3,0,10,139,129,0.928,2.17,1,276:51,2,0.5,0,80.0,2.5,2.38,1.0,0,0,0,0,
89,76,Marcus Högberg,24.0,OTT,G,4,4,0,2,1,14,121,107,0.884,4.09,0,205:30,1,0.25,1,128.0,-3.1,4.38,0.3,0,0,0,0,
90,77,Peter Budaj,36.0,LAK,G,3,1,0,1,0,6,33,27,0.818,5.02,0,71:45,0,0.0,1,202.0,-3.0,5.02,-0.1,0,0,0,0,
91,78,Eddie Pasquale,28.0,TBL,G,3,3,2,1,0,12,102,90,0.882,3.96,0,181:58,1,0.333,1,131.0,-2.8,4.29,0.3,0,0,0,0,
92,79,Landon Bow,23.0,DAL,G,2,0,0,0,0,1,19,18,0.947,1.03,0,58:15,0,,0,58.0,0.7,1.03,0.2,0,0,0,0,
93,80,Mike Condon,28.0,OTT,G,2,2,0,2,0,8,40,32,0.8,6.38,0,75:15,0,0.0,2,222.0,-4.4,7.18,-0.2,0,0,0,0,
94,81,Pavel Francouz,28.0,COL,G,2,0,0,2,0,2,35,33,0.943,1.96,0,61:11,0,,0,63.0,1.2,1.96,0.3,0,0,0,0,
95,82,Christopher Gibson,26.0,NYI,G,2,0,0,0,0,1,17,16,0.941,1.5,0,40:00,0,,0,65.0,0.5,1.5,0.2,0,0,0,0,
96,83,Tristan Jarry,23.0,PIT,G,2,2,0,1,1,7,62,55,0.887,3.5,0,120:03,1,0.5,1,125.0,-1.4,3.5,0.2,0,0,0,0,
97,84,Alex Lyon,26.0,PHI,G,2,1,0,1,0,6,31,25,0.806,5.08,0,70:49,0,0.0,1,215.0,-3.2,5.08,-0.2,0,0,0,0,
98,85,Richard Bachman,31.0,VAN,G,1,1,0,1,0,6,29,23,0.793,6.0,0,60:00,0,0.0,1,230.0,-3.4,6.0,-0.2,0,0,0,0,
99,86,Eric Comrie,23.0,WPG,G,1,1,0,1,0,5,28,23,0.821,5.01,0,59:53,0,0.0,1,198.0,-2.5,5.01,-0.1,0,0,0,0,
100,87,Joey Daccord,22.0,OTT,G,1,1,0,1,0,5,40,35,0.875,5.0,0,60:00,0,0.0,0,139.0,-1.4,5.0,0.1,0,0,0,0,
101,88,Michael DiPietro,19.0,VAN,G,1,1,0,1,0,7,24,17,0.708,7.0,0,60:00,0,0.0,1,324.0,-4.8,7.0,-0.4,0,0,0,0,
102,89,Kaden Fulcher,20.0,DET,G,1,0,0,0,0,2,11,9,0.818,4.41,0,27:13,0,,0,202.0,-1.0,4.41,0.0,0,0,0,0,
103,90,Maxime Lagace,26.0,VEG,G,1,1,0,1,0,4,31,27,0.871,4.03,0,59:31,0,0.0,0,143.0,-1.2,4.03,0.0,0,0,0,0,
104,91,Charlie Lindgren,25.0,MTL,G,1,1,1,0,0,5,49,44,0.898,4.62,0,65:00,0,0.0,0,113.0,-0.6,4.62,0.2,0,0,0,0,
105,92,Hunter Miska,23.0,ARI,G,1,0,0,0,0,1,9,8,0.889,3.28,0,18:16,0,,0,123.0,-0.2,3.28,0.0,0,0,0,0,
106,93,Alex Nedeljkovic,23.0,CAR,G,1,1,1,0,0,2,26,24,0.923,2.0,0,60:00,1,1.0,0,85.0,0.3,2.0,0.2,0,0,0,0,
0,1,Connor Hellebuyck,26.0,WPG,G,58,56,31,21,5,140,1796,1656,0.922,2.57,6,3268:33,36,0.643,6,86.0,22.4,2.74,12.5,0,2,2,0,ASGASnhl-1Byng-21Hart-6Vezina-1
1,2,Carey Price,32.0,MTL,G,58,58,27,25,6,160,1755,1595,0.909,2.79,4,3439:49,31,0.534,11,101.0,-1.3,2.97,9.8,0,0,0,6,ASnhl-8
2,3,Frederik Andersen,30.0,TOR,G,52,52,29,13,7,143,1577,1434,0.909,2.85,3,3006:40,27,0.519,8,100.0,-0.4,3.03,8.9,0,0,0,0,ASGASnhl-12
3,4,Andrei Vasilevskiy,25.0,TBL,G,52,52,35,14,3,133,1605,1472,0.917,2.56,3,3121:54,31,0.596,7,92.0,12.1,2.71,10.4,0,4,4,4,ASGASnhl-3Vezina-3
4,5,John Gibson,26.0,ANA,G,51,51,20,26,5,149,1552,1403,0.904,3.0,1,2981:17,22,0.431,10,106.0,-8.7,3.2,7.8,0,0,0,6,
5,6,Jordan Binnington,26.0,STL,G,50,50,30,13,7,126,1430,1304,0.912,2.56,3,2947:41,28,0.56,5,97.0,3.3,2.73,8.4,0,1,1,4,ASGASnhl-7Vezina-7
6,7,Sergei Bobrovsky,31.0,FLA,G,50,49,23,19,6,151,1505,1354,0.9,3.23,1,2805:59,20,0.408,10,111.0,-14.9,3.44,6.9,0,0,0,0,
7,8,Marc-André Fleury,35.0,VEG,G,49,48,27,16,5,133,1399,1266,0.905,2.77,5,2880:06,24,0.5,9,105.0,-6.5,2.96,7.2,0,0,0,8,Byng-19
8,9,Braden Holtby,30.0,WSH,G,48,47,25,14,6,142,1385,1243,0.897,3.11,0,2743:10,22,0.468,11,113.0,-16.8,3.32,6.0,0,1,1,4,ASGByng-28
9,10,David Rittich,27.0,CGY,G,48,48,24,17,6,138,1478,1340,0.907,2.97,2,2791:58,24,0.5,7,103.0,-4.4,3.16,7.9,0,1,1,6,ASG
10,11,Mackenzie Blackwood,23.0,NJD,G,47,43,22,14,8,124,1452,1328,0.915,2.77,3,2684:01,22,0.512,6,94.0,7.3,2.95,9.0,0,1,1,0,ASnhl-12Calder-6
11,12,Jonathan Bernier,31.0,DET,G,46,41,15,22,3,126,1353,1227,0.907,2.95,1,2565:56,17,0.415,5,103.0,-3.7,3.13,7.2,0,3,3,4,
12,13,Semyon Varlamov,31.0,NYI,G,45,39,19,14,6,110,1278,1168,0.914,2.62,2,2517:19,21,0.538,4,95.0,5.6,2.79,7.8,0,0,0,0,
13,14,Ben Bishop,33.0,DAL,G,44,43,21,16,4,103,1286,1183,0.92,2.5,2,2473:49,27,0.628,5,89.0,13.3,2.64,8.7,0,2,2,2,ASnhl-4
14,15,Carter Hart,21.0,PHI,G,43,40,24,13,3,95,1100,1005,0.914,2.42,1,2355:50,25,0.625,9,96.0,4.5,2.57,6.7,0,0,0,0,ASnhl-9
15,16,Jacob Markström,30.0,VAN,G,43,43,23,16,4,117,1420,1303,0.918,2.75,2,2551:53,25,0.581,5,91.0,11.4,2.92,9.2,0,1,1,4,ASGASnhl-5Hart-15Vezina-4
16,17,Jonathan Quick,34.0,LAK,G,42,42,16,22,4,117,1224,1107,0.904,2.79,1,2516:14,21,0.5,5,106.0,-6.3,2.98,6.2,0,1,1,0,
17,18,Martin Jones,30.0,SJS,G,41,40,17,21,2,118,1139,1021,0.896,3.0,2,2359:50,15,0.375,11,115.0,-15.0,3.2,4.8,0,1,1,0,
18,19,Tuukka Rask,32.0,BOS,G,41,41,26,8,6,85,1189,1104,0.929,2.12,5,2401:47,28,0.683,3,79.0,22.5,2.25,9.1,0,2,2,0,ASnhl-2Jennings-1Vezina-2
19,20,Corey Crawford,35.0,CHI,G,40,39,16,20,3,108,1294,1186,0.917,2.77,1,2340:03,25,0.641,3,92.0,9.0,2.95,8.3,0,0,0,0,ASnhl-12
20,21,Petr Mrázek,27.0,CAR,G,40,38,21,16,2,104,1091,987,0.905,2.69,3,2320:59,19,0.5,7,105.0,-5.3,2.87,5.6,0,0,0,4,
21,22,Juuse Saros,24.0,NSH,G,40,34,17,12,4,98,1142,1044,0.914,2.7,4,2176:50,21,0.618,3,95.0,5.3,2.87,7.0,0,0,0,0,
22,23,Mike Smith,37.0,EDM,G,39,37,19,12,6,106,1087,981,0.902,2.95,1,2156:51,17,0.459,9,108.0,-7.7,3.14,5.3,0,2,2,21,
23,24,Mikko Koskinen,31.0,EDM,G,38,34,18,13,3,97,1175,1078,0.917,2.75,1,2116:31,17,0.5,5,91.0,9.2,2.92,7.6,0,0,0,0,
24,25,Matt Murray,25.0,PIT,G,38,38,20,11,5,107,1055,948,0.899,2.87,1,2237:30,16,0.421,8,112.0,-11.6,3.06,4.7,0,1,1,2,
25,26,Alex Stalock,32.0,MIN,G,38,36,20,11,4,97,1082,985,0.91,2.67,4,2177:21,19,0.528,5,99.0,0.8,2.84,6.2,0,1,1,4,
26,27,Joonas Korpisalo,25.0,CBJ,G,37,35,19,12,5,92,1030,938,0.911,2.6,2,2125:54,21,0.6,5,99.0,1.1,2.77,5.9,0,1,1,0,
27,28,Philipp Grubauer,28.0,COL,G,36,36,18,12,4,90,1067,977,0.916,2.63,2,2057:06,17,0.472,4,93.0,6.5,2.8,6.7,0,0,0,0,
28,29,Pekka Rinne,37.0,NSH,G,36,35,18,14,4,105,1004,899,0.895,3.17,3,1987:46,16,0.457,11,116.0,-14.2,3.38,4.1,1,2,3,0,
29,30,Robin Lehner,28.0,2TM,G,36,34,19,10,5,99,1235,1136,0.92,2.89,1,2055:28,19,0.559,4,89.0,12.7,3.06,8.3,0,0,0,4,Vezina-6
30,30,Robin Lehner,28.0,CHI,G,33,31,16,10,5,94,1152,1058,0.918,3.01,0,1875:28,17,0.548,4,90.0,10.2,3.2,7.6,0,0,0,4,
31,30,Robin Lehner,28.0,VEG,G,3,3,3,0,0,5,83,78,0.94,1.67,1,180:00,2,0.667,0,67.0,2.5,1.67,0.7,0,0,0,0,
32,31,Craig Anderson,38.0,OTT,G,34,31,11,17,2,100,1018,918,0.902,3.25,0,1845:11,14,0.452,7,109.0,-7.9,3.48,4.9,0,1,1,0,
33,32,Pavel Francouz,29.0,COL,G,34,31,21,7,4,77,996,919,0.923,2.41,1,1914:26,17,0.548,5,85.0,13.1,2.57,7.0,0,0,0,2,ASnhl-12
34,33,Alexandar Georgiev,23.0,NYR,G,34,32,17,14,2,96,1063,967,0.91,3.04,2,1891:44,17,0.531,5,100.0,0.1,3.24,6.0,0,1,1,0,
35,34,Linus Ullmark,26.0,BUF,G,34,34,17,14,3,91,1066,975,0.915,2.69,1,2026:38,19,0.559,2,94.0,5.4,2.87,6.6,0,0,0,4,
36,35,Aaron Dell,30.0,SJS,G,33,30,12,15,3,92,986,894,0.907,3.01,0,1834:14,15,0.5,5,103.0,-2.8,3.21,5.3,0,0,0,0,
37,36,Tristan Jarry,24.0,PIT,G,33,31,20,12,1,78,985,907,0.921,2.43,3,1926:29,19,0.613,3,88.0,11.1,2.59,6.7,0,0,0,0,ASGASnhl-9Hart-17Vezina-7
38,37,Elvis Merzļikins,25.0,CBJ,G,33,31,13,9,8,71,919,848,0.923,2.35,5,1815:08,17,0.548,3,85.0,12.1,2.48,6.5,0,0,0,0,ASnhl-9AR-1Calder-5Vezina-5
39,38,Antti Raanta,30.0,ARI,G,33,32,15,14,3,80,1014,934,0.921,2.63,2,1822:54,19,0.594,3,87.0,11.7,2.8,7.0,0,0,0,2,
40,39,Brian Elliott,34.0,PHI,G,31,27,16,7,4,80,796,716,0.899,2.87,2,1673:54,14,0.519,8,111.0,-8.0,3.05,3.6,0,1,1,2,
41,40,Thomas Greiss,34.0,NYI,G,31,29,16,9,4,73,838,765,0.913,2.74,0,1595:56,15,0.517,5,96.0,2.8,2.93,5.0,0,0,0,2,
42,41,Jaroslav Halák,34.0,BOS,G,31,29,18,6,6,73,905,832,0.919,2.39,3,1833:22,18,0.621,3,89.0,8.8,2.55,6.1,0,2,2,0,Jennings-1
43,42,Carter Hutton,34.0,BUF,G,31,30,12,14,4,94,918,824,0.898,3.18,2,1775:26,14,0.467,7,113.0,-11.0,3.38,4.0,0,1,1,6,
44,43,Devan Dubnyk,33.0,MIN,G,30,28,12,15,2,93,849,756,0.89,3.35,1,1664:39,9,0.321,5,121.0,-16.2,3.57,3.1,0,0,0,2,
45,44,Anton Khudobin,33.0,DAL,G,30,26,16,8,4,62,882,820,0.93,2.22,0,1677:29,19,0.731,2,78.0,17.8,2.36,6.9,0,3,3,4,ASnhl-12
46,45,Henrik Lundqvist,37.0,NYR,G,30,26,10,12,3,84,883,799,0.905,3.16,1,1596:44,13,0.5,4,105.0,-4.2,3.38,4.5,0,1,1,2,
47,46,Darcy Kuemper,29.0,ARI,G,29,29,16,11,2,65,903,838,0.928,2.22,2,1753:24,22,0.759,2,80.0,16.7,2.36,6.9,0,0,0,6,ASnhl-6Vezina-7
48,47,Thatcher Demko,24.0,VAN,G,27,25,13,10,2,78,822,744,0.905,3.06,0,1529:03,15,0.6,5,105.0,-3.7,3.26,4.2,0,0,0,0,
49,48,Jimmy Howard,35.0,DET,G,27,27,2,23,2,96,817,721,0.882,4.2,0,1371:34,7,0.259,9,130.0,-22.1,4.51,2.2,0,0,0,0,
50,49,Ilya Samsonov,22.0,WSH,G,26,22,16,6,2,60,689,629,0.913,2.55,1,1411:02,13,0.591,2,96.0,2.3,2.72,4.1,0,0,0,2,Calder-12
51,50,Cam Talbot,32.0,CGY,G,26,22,12,10,1,63,780,717,0.919,2.63,2,1434:39,11,0.5,2,89.0,7.5,2.8,5.2,0,0,0,21,
52,51,Jack Campbell,28.0,2TM,G,26,26,11,12,3,73,761,688,0.904,2.8,0,1566:59,11,0.423,4,106.0,-4.2,2.99,3.8,0,0,0,0,
53,51,Jack Campbell,28.0,LAK,G,20,20,8,10,2,57,572,515,0.9,2.85,0,1201:38,7,0.35,4,110.0,-5.3,3.05,2.7,0,0,0,0,
54,51,Jack Campbell,28.0,TOR,G,6,6,3,2,1,16,189,173,0.915,2.63,0,365:21,4,0.667,0,94.0,1.1,2.79,1.2,0,0,0,0,
55,52,James Reimer,31.0,CAR,G,25,24,14,6,2,61,712,651,0.914,2.66,3,1378:01,15,0.625,6,95.0,3.4,2.83,4.4,0,0,0,2,
56,53,Jake Allen,29.0,STL,G,24,21,12,6,3,48,655,607,0.927,2.15,2,1339:04,14,0.667,2,81.0,11.2,2.29,4.9,0,0,0,0,
57,54,Marcus Högberg,25.0,OTT,G,24,21,5,8,8,70,728,658,0.904,3.12,0,1344:33,10,0.476,3,106.0,-4.2,3.35,3.7,0,0,0,0,
58,55,Ryan Miller,39.0,ANA,G,23,19,9,6,4,64,685,621,0.907,3.1,0,1238:14,11,0.579,2,103.0,-2.1,3.3,3.6,0,1,1,0,
59,56,Malcolm Subban,26.0,2TM,G,21,19,9,7,3,60,546,486,0.89,3.17,0,1134:15,7,0.368,7,122.0,-10.6,3.39,1.9,0,0,0,0,
60,56,Malcolm Subban,26.0,VEG,G,20,19,9,7,3,60,546,486,0.89,3.18,0,1133:05,7,0.368,7,122.0,-10.6,3.39,1.9,0,0,0,0,
61,56,Malcolm Subban,26.0,CHI,G,1,0,0,0,0,0,0,0,,0.0,0,1:10,0,,0,,0.0,0.0,0.0,0,0,0,0,
62,57,Anders Nilsson,29.0,OTT,G,20,19,9,9,2,58,628,570,0.908,3.18,0,1093:16,11,0.579,5,102.0,-1.2,3.4,3.4,0,0,0,0,
63,58,Laurent Brossoit,26.0,WPG,G,19,15,6,7,1,54,512,458,0.895,3.28,0,987:53,7,0.467,1,117.0,-7.7,3.52,2.1,0,0,0,0,
