Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
729,Kevin Shattenkirk,31,TBL,D,70,1177,1014,53.7,2.5,870,776,52.9,2.2,9.8,93.7,103.6,53.2,46.8,18:53,16:50,32,34,10.0,246,53.3,shattke01
730,Andrew Shaw,28,CHI,C,26,328,318,50.8,3.7,229,246,48.2,1.5,8.8,91.3,100.1,49.2,50.8,14:27,11:47,12,15,1.7,69,66.7,shawan01
731,Logan Shaw,28,WPG,RW,35,133,229,36.7,-12.6,100,160,38.5,-9.6,5.8,96.2,102.0,44.7,55.3,6:49,6:40,2,5,-3.9,36,55.6,shawlo01
732,Riley Sheahan,28,EDM,C,66,516,664,43.7,-5.0,399,486,45.1,-3.9,7.3,89.7,97.0,32.3,67.7,12:47,10:15,36,25,-4.3,109,64.2,sheahri01
733,Conor Sheary,27,TOT,LW,63,664,654,50.4,0.3,504,515,49.5,-0.2,8.7,90.0,98.7,50.7,49.3,13:06,11:53,19,18,1.1,,,shearco01
733,Conor Sheary,27,BUF,LW,55,552,557,49.8,0.3,421,443,48.7,-0.2,8.2,90.9,99.1,46.9,53.1,12:55,11:38,16,16,1.9,143,61.5,shearco01
733,Conor Sheary,27,PIT,LW,8,112,97,53.6,-1.1,83,72,53.5,-1.9,11.5,84.9,96.4,68.5,31.5,14:27,13:29,3,2,-0.7,24,58.3,shearco01
734,Kiefer Sherwood,24,ANA,RW,10,83,110,43.0,-4.6,63,86,42.3,-5.7,7.5,95.4,102.9,46.9,53.1,13:20,12:17,4,7,-3.6,33,51.5,sherwki01
735,Kole Sherwood,23,CBJ,RW,3,23,15,60.5,10.1,19,10,65.5,10.9,0.0,100.0,100.0,46.7,53.3,6:38,6:38,2,0,0.2,6,100.0,sherwko01
736,Devin Shore,25,TOT,C,45,409,499,45.0,-2.8,324,383,45.8,-2.5,7.6,89.7,97.4,50.6,49.4,11:39,10:33,12,8,-5.6,,,shorede01
736,Devin Shore,25,ANA,C,39,362,443,45.0,-3.0,289,342,45.8,-2.4,7.4,90.0,97.4,51.3,48.7,11:59,10:46,11,8,-4.1,73,64.4,shorede01
