Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Devan Dubnyk,32,MIN,G,67,66,31,28,6,163,1877,1714,.913,2.54,2,3855:16,38,.576,13,96,6.2,2.69,11.1,0,2,2,2,ASG,dubnyde01
2,Carey Price,31,MTL,G,66,64,35,24,6,161,1952,1791,.918,2.49,4,3880:15,37,.578,6,92,14.9,2.64,12.5,0,1,1,2,ASnhl-3Vezina-7,priceca01
3,Connor Hellebuyck,25,WPG,G,63,62,34,23,3,179,2051,1872,.913,2.90,2,3704:06,28,.452,6,97,5.9,3.09,12.1,0,3,3,4,,helleco01
4,Sergei Bobrovsky,30,CBJ,G,62,61,37,24,1,153,1756,1603,.913,2.58,9,3556:40,31,.508,13,97,5.3,2.75,10.4,0,0,0,2,ASnhl-11Vezina-9,bobrose01
5,Martin Jones,29,SJS,G,62,62,36,19,5,176,1699,1523,.896,2.94,3,3597:13,27,.435,14,115,-22.9,3.14,7.0,0,1,1,2,,jonesma02
6,Marc-André Fleury,34,VEG,G,61,61,35,21,5,152,1745,1593,.913,2.51,8,3635:08,34,.557,7,97,5.3,2.67,10.3,0,2,2,4,ASGASnhl-5Byng-32Hart-17Vezina-4,fleurma01
7,Frederik Andersen,29,TOR,G,60,60,36,16,7,162,1958,1796,.917,2.77,1,3510:15,38,.633,7,92,14.5,2.96,12.5,0,1,1,2,ASnhl-7Vezina-10,anderfr01
8,Jacob Markström,29,VAN,G,60,60,28,23,9,166,1896,1730,.912,2.77,1,3599:01,34,.567,7,97,4.9,2.95,11.1,0,3,3,2,Vezina-10,marksja02
9,Braden Holtby,29,WSH,G,59,58,32,19,5,160,1795,1635,.911,2.82,3,3406:34,33,.569,9,99,1.8,3.01,10.2,0,2,2,2,ASG,holtbbr01
10,John Gibson,25,ANA,G,58,57,26,22,8,153,1838,1685,.917,2.84,2,3233:02,34,.596,8,92,12.7,3.03,11.6,0,0,0,2,ASGASnhl-8Vezina-10,gibsojo02
