Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
22,Mike Smith,38,EDM,G,32,30,21,6,2,71,921,850,.923,2.31,3,1846:33,19,.633,3,84,13.9,2.53,6.9,0,2,2,6,ASnhl-7Vezina-7,smithmi01
23,Sergei Bobrovsky,32,FLA,G,31,30,19,8,2,88,935,847,.906,2.91,0,1816:28,16,.533,4,102,-1.9,3.17,5.3,0,0,0,0,,bobrose01
24,Brian Elliott,35,PHI,G,30,26,15,9,2,82,738,656,.889,3.06,2,1607:43,12,.462,8,121,-14.0,3.36,2.8,0,1,1,0,,elliobr01
25,Jake Allen,30,MTL,G,29,27,11,12,5,76,817,741,.907,2.68,0,1702:36,12,.444,2,101,-0.7,2.92,4.7,0,0,0,2,,allenja01
26,Jake Oettinger,22,DAL,G,29,24,11,8,7,63,710,647,.911,2.36,1,1604:08,12,.500,3,96,2.4,2.58,4.4,0,1,1,4,,oettija01
27,Elvis Merzļikins,26,CBJ,G,28,23,8,12,5,69,825,756,.916,2.77,2,1496:49,14,.609,2,91,7.0,3.05,5.6,0,1,1,0,,merzlel01
28,Carter Hart,22,PHI,G,27,25,9,11,5,89,721,632,.877,3.67,1,1456:19,9,.360,8,134,-22.6,4.04,1.8,0,0,0,2,,hartca01
29,Darcy Kuemper,30,ARI,G,27,27,10,11,3,66,710,644,.907,2.56,2,1546:37,15,.556,3,101,-0.6,2.79,4.1,0,0,0,4,,kuempda01
30,Matt Murray,26,OTT,G,27,25,10,13,1,79,738,659,.893,3.38,2,1404:11,14,.560,8,116,-11.0,3.72,3.1,0,1,1,2,,murrama02
31,Mikko Koskinen,32,EDM,G,26,25,13,13,0,76,756,680,.899,3.17,0,1437:39,12,.480,4,109,-6.3,3.46,3.8,0,2,2,0,,koskimi01
32,Carey Price,33,MTL,G,25,25,12,7,5,65,659,594,.901,2.64,1,1478:45,14,.560,6,107,-4.3,2.88,3.4,0,0,0,0,,priceca01
33,Frederik Andersen,31,TOR,G,24,23,13,8,3,70,668,598,.895,2.96,0,1420:07,9,.391,6,114,-8.5,3.25,3.0,0,1,1,0,,anderfr01
34,Jonathan Bernier,32,DET,G,24,23,9,11,1,65,757,692,.914,2.99,0,1306:27,15,.652,4,93,4.7,3.26,5.0,0,0,0,0,,bernijo01
35,Kaapo Kähkönen,24,MIN,G,24,23,16,8,0,68,692,624,.902,2.88,2,1414:28,10,.435,3,107,-4.2,3.18,3.6,0,0,0,2,Calder-15,kahkoka01
36,Tuukka Rask,33,BOS,G,24,24,15,5,2,53,611,558,.913,2.28,2,1396:27,16,.667,5,94,3.3,2.49,4.0,0,2,2,0,,rasktu01
37,Pekka Rinne,38,NSH,G,24,21,10,12,1,62,664,602,.907,2.84,2,1310:29,12,.571,3,101,-0.8,3.11,3.8,0,1,1,0,Clancy-1,rinnepe01
38,Chris Driedger,26,FLA,G,23,23,14,6,3,47,640,593,.927,2.07,3,1361:36,15,.652,3,80,12.0,2.25,5.1,0,2,2,0,,driedch01
39,Alex Nedeljkovic,25,CAR,G,23,23,15,5,3,44,648,604,.932,1.90,3,1392:02,15,.652,0,74,15.7,2.07,5.5,0,1,1,2,AR-1Calder-3,nedelal01
40,Jack Campbell,29,TOR,G,22,22,17,3,2,46,585,539,.921,2.15,2,1284:24,13,.591,2,85,7.9,2.34,4.3,0,0,0,0,Byng-38,campbja01
41,Jonathan Quick,35,LAK,G,22,22,11,9,2,58,566,508,.898,2.86,2,1218:49,10,.455,4,111,-5.9,3.15,2.7,0,0,0,0,,quickjo01
42,James Reimer,32,CAR,G,22,21,15,5,2,59,627,568,.906,2.66,0,1331:06,10,.476,1,102,-1.2,2.93,3.6,0,0,0,0,,reimeja01
43,Ilya Sorokin,25,NYI,G,22,21,13,6,3,46,563,517,.918,2.17,3,1271:47,15,.714,3,89,5.9,2.36,4.0,0,0,0,0,Calder-15,sorokil01
44,Devan Dubnyk,34,2TM,G,22,18,6,11,2,63,602,539,.895,3.20,1,1182:22,8,.444,4,114,-7.5,3.55,2.7,0,0,0,2,,dubnyde01
44,Devan Dubnyk,34,SJS,G,17,13,3,9,2,47,462,415,.898,3.18,1,887:44,6,.462,3,110,-4.4,3.51,2.2,0,0,0,2,,dubnyde01
44,Devan Dubnyk,34,COL,G,5,5,3,2,0,16,140,124,.886,3.26,0,294:38,2,.400,1,124,-3.1,3.67,0.5,0,0,0,0,,dubnyde01
45,Braden Holtby,31,VAN,G,21,21,7,11,3,77,695,618,.889,3.67,0,1260:29,7,.333,5,120,-13.0,4.05,2.7,0,1,1,0,,holtbbr01
46,Casey DeSmith,29,PIT,G,20,17,11,7,0,48,543,495,.912,2.54,2,1132:19,9,.529,2,96,2.0,2.81,3.4,0,1,1,0,,desmica01
47,Linus Ullmark,27,BUF,G,20,20,9,6,3,49,591,542,.917,2.63,0,1117:05,11,.550,0,90,5.4,2.90,4.1,0,0,0,0,,ullmali01
48,Alexandar Georgiev,24,NYR,G,19,18,8,7,2,44,465,421,.905,2.71,2,973:56,9,.500,3,103,-1.2,2.96,2.6,0,1,1,0,,georgal01
49,Jaroslav Halák,35,BOS,G,19,17,9,6,4,46,482,436,.905,2.53,2,1090:01,9,.529,3,104,-1.6,2.75,2.7,0,0,0,0,,halakja01
50,Adin Hill,24,ARI,G,19,17,9,9,1,46,530,484,.913,2.74,2,1005:54,8,.471,2,94,2.8,2.98,3.4,0,0,0,0,,hillad01
51,Robin Lehner,29,VEG,G,19,19,13,4,2,44,505,461,.913,2.29,1,1155:19,12,.632,4,95,2.5,2.49,3.2,0,1,1,0,Jennings-1,lehnero01
52,Ilya Samsonov,23,WSH,G,19,18,13,4,1,49,499,450,.902,2.69,2,1092:49,7,.389,3,107,-3.0,2.96,2.6,0,1,1,0,,samsoil01
53,David Rittich,28,2TM,G,19,15,5,8,2,46,463,417,.901,2.86,1,965:46,7,.467,3,108,-3.3,3.11,2.4,0,0,0,0,,rittida01
53,David Rittich,28,CGY,G,15,12,4,7,1,36,374,338,.904,2.90,1,745:05,6,.500,2,104,-1.5,3.14,2.0,0,0,0,0,,rittida01
53,David Rittich,28,TOR,G,4,3,1,1,1,10,89,79,.888,2.72,0,220:41,1,.333,1,122,-1.8,2.99,0.3,0,0,0,0,,rittida01
54,Ville Husso,25,STL,G,17,15,9,6,1,49,460,411,.893,3.21,1,917:19,7,.467,2,116,-6.6,3.53,2.0,0,0,0,4,,hussovi01
55,Ryan Miller,40,ANA,G,16,14,4,8,2,51,432,381,.882,3.51,0,870:55,5,.357,4,128,-11.2,3.86,1.3,0,0,0,0,,millery01
56,Malcolm Subban,27,CHI,G,16,14,6,8,1,47,471,424,.900,3.20,2,881:17,6,.429,4,108,-3.6,3.54,2.4,0,0,0,0,,subbama01
57,Scott Wedgewood,28,NJD,G,16,15,3,8,3,46,458,412,.900,3.11,2,888:02,5,.333,4,109,-3.8,3.38,2.3,0,0,0,0,,wedgesc01
58,Jonas Johansson,25,2TM,G,15,13,5,6,2,39,380,341,.897,2.86,1,816:50,6,.462,2,111,-4.0,3.09,1.8,0,0,0,0,,johanjo03
58,Jonas Johansson,25,BUF,G,7,6,0,5,1,24,207,183,.884,3.79,0,379:53,1,.167,1,126,-4.9,4.11,0.7,0,0,0,0,,johanjo03
58,Jonas Johansson,25,COL,G,8,7,5,1,1,15,173,158,.913,2.06,1,436:57,5,.714,1,94,0.9,2.20,1.1,0,0,0,0,,johanjo03
59,Laurent Brossoit,27,WPG,G,14,11,6,6,0,30,368,338,.918,2.42,1,744:07,7,.636,0,88,3.9,2.66,2.6,0,0,0,0,,brossla01
60,Marcus Högberg,26,OTT,G,14,10,4,7,0,40,322,282,.876,3.74,0,641:51,3,.300,3,135,-10.3,4.11,0.8,0,0,0,0,,hogbema01
61,Carter Hutton,35,BUF,G,13,12,1,10,1,39,341,302,.886,3.47,0,674:43,6,.500,4,124,-7.6,3.82,1.2,0,0,0,0,,huttoca01
62,Dustin Tokarski,31,BUF,G,13,10,2,8,2,43,447,404,.904,3.54,0,729:26,5,.500,1,104,-1.8,3.87,2.4,0,1,1,0,,tokardu01
63,Curtis McElhinney,37,TBL,G,12,12,4,6,2,37,296,259,.875,3.09,1,719:19,5,.417,4,136,-9.7,3.42,0.7,0,0,0,2,,mcelhcu01
64,Petr Mrázek,28,CAR,G,12,12,6,2,3,23,298,275,.923,2.06,3,670:59,7,.583,1,84,4.5,2.24,2.2,0,0,0,0,,mrazepe01
65,Antti Raanta,31,ARI,G,12,11,5,5,2,38,401,363,.905,3.36,0,678:50,6,.545,2,103,-1.1,3.71,2.2,0,0,0,0,,raantan01
66,Josef Kořenář,23,SJS,G,10,7,3,5,0,26,258,232,.899,3.17,0,491:50,3,.429,1,109,-2.2,3.42,1.3,0,0,0,0,,korenjo01
67,Jeremy Swayman,22,BOS,G,10,10,7,3,0,15,271,256,.945,1.50,2,601:43,9,.900,0,60,10.0,1.60,2.7,0,0,0,0,,swaymje01
68,Filip Gustavsson,22,OTT,G,9,7,5,1,2,17,254,237,.933,2.16,0,471:34,6,.857,0,73,6.4,2.42,2.2,0,0,0,0,,gustafi01
69,Keith Kinkaid,31,NYR,G,9,7,3,2,1,21,205,184,.898,2.59,1,485:53,3,.429,3,111,-2.1,2.84,1.0,0,0,0,0,,kinkake01
70,Joey Daccord,24,OTT,G,8,6,1,3,1,22,214,192,.897,3.27,0,403:22,3,.500,1,112,-2.3,3.57,1.0,0,0,0,0,,daccojo01
71,Anton Forsberg,28,OTT,G,8,8,3,4,1,24,264,240,.909,3.21,0,448:33,6,.750,1,99,0.3,3.48,1.6,0,0,0,0,,forsban01
72,Michael Hutchinson,30,TOR,G,8,8,4,2,1,17,211,194,.919,2.42,1,421:52,5,.625,1,87,2.4,2.70,1.5,0,0,0,0,,hutchmi01
73,Anthony Stolarz,27,ANA,G,8,7,4,3,0,17,230,213,.926,2.20,1,464:18,5,.714,1,80,4.2,2.46,1.8,0,1,1,0,,stolaan01
74,Aaron Dell,31,NJD,G,7,5,1,5,0,22,154,132,.857,4.14,0,319:10,1,.200,1,155,-7.8,4.51,0.1,0,0,0,0,,dellaa01
75,Collin Delia,26,CHI,G,6,5,1,3,1,20,205,185,.902,3.59,0,334:29,1,.200,1,106,-1.1,3.95,1.1,0,0,0,0,,deliaco01
76,Alex Lyon,28,PHI,G,6,5,1,3,1,18,169,151,.893,3.33,0,324:09,2,.400,2,116,-2.4,3.70,0.7,0,0,0,0,,lyonal01
77,Calvin Pickard,28,DET,G,6,4,2,1,1,16,127,111,.874,3.16,0,303:31,2,.500,1,137,-4.3,3.56,0.3,0,0,0,0,,pickaca01
78,Hunter Miska,25,COL,G,5,5,1,1,2,18,111,93,.838,4.16,0,259:48,1,.200,2,176,-7.8,4.62,-0.2,0,0,0,0,,miskahu01
79,Daniel Vladař,23,BOS,G,5,5,2,2,1,17,149,132,.886,3.40,0,300:04,2,.400,1,124,-3.3,3.80,0.5,0,0,0,0,,vladada01
80,Craig Anderson,39,WSH,G,4,2,2,1,0,6,71,65,.915,2.13,0,168:44,1,.500,0,92,0.5,2.49,0.5,0,0,0,0,,andercr01
81,Michael Houser,28,BUF,G,4,4,2,2,0,14,141,127,.901,3.46,0,243:02,3,.750,1,108,-1.0,3.70,0.7,0,0,0,0,,housemi01
82,Spencer Knight,19,FLA,G,4,3,4,0,0,8,99,91,.919,2.32,0,206:54,1,.333,0,88,1.1,2.61,0.7,0,0,0,0,,knighsp01
83,Ukko-Pekka Luukkonen,21,BUF,G,4,4,1,3,0,14,149,135,.906,3.88,0,216:42,1,.250,0,102,-0.3,4.15,0.8,0,0,0,0,,luukkuk01
84,Cayden Primeau,21,MTL,G,4,4,1,2,1,14,93,79,.849,4.16,0,201:54,1,.250,2,163,-5.4,4.46,0.0,0,0,0,0,,primeca01
85,Alexei Melnichuk,22,SJS,G,3,2,0,1,1,11,81,70,.864,5.05,0,130:35,0,.000,1,147,-3.5,5.51,0.1,0,0,0,0,,melnial01
86,Ivan Prosvetov,21,ARI,G,3,1,0,1,0,9,51,42,.824,4.15,0,130:01,0,.000,1,192,-4.3,4.61,-0.2,0,0,0,0,,prosviv01
87,Christopher Gibson,28,TBL,G,2,2,1,1,0,5,40,35,.875,2.66,0,112:58,1,.500,1,136,-1.3,2.66,0.1,0,0,0,0,,gibsoch01
88,Troy Grosenick,31,LAK,G,2,2,1,1,0,6,77,71,.922,3.00,0,120:00,1,.500,0,85,1.1,3.50,0.6,0,0,0,0,,grosetr01
89,Matiss Kivlenieks,24,CBJ,G,2,2,1,1,0,7,71,64,.901,3.40,0,123:21,1,.500,0,107,-0.5,3.89,0.4,0,0,0,0,,kivlema01
90,Eric Comrie,25,NJD,G,1,1,1,0,0,3,33,30,.909,3.00,0,60:00,1,1.000,0,99,0.0,3.00,0.2,0,0,0,0,,comrier01
91,Oscar Dansk,26,VEG,G,1,1,1,0,0,4,29,25,.862,3.91,0,61:25,0,.000,0,150,-1.3,3.91,0.0,0,0,0,0,,danskos01
92,Louis Domingue,28,CGY,G,1,1,0,1,0,3,23,20,.870,3.12,0,57:42,0,.000,0,142,-0.9,3.12,0.0,0,0,0,0,,dominlo01
93,Kasimir Kaskisuo,27,NSH,G,1,0,0,0,0,0,3,3,1.000,.00,0,15:22,0,,0,0,0.3,.00,0.0,0,0,0,0,,kaskika01
94,Maxime Lagace,28,PIT,G,1,1,1,0,0,0,29,29,1.000,.00,1,60:00,1,1.000,0,0,2.7,.00,0.5,0,0,0,0,,lagacma01
95,Stuart Skinner,22,EDM,G,1,1,1,0,0,5,38,33,.868,5.03,0,59:41,0,.000,0,143,-1.5,5.03,0.1,0,0,0,0,,skinnst01
96,Logan Thompson,23,VEG,G,1,0,0,0,0,0,2,2,1.000,.00,0,8:15,0,,0,0,0.2,.00,0.0,0,0,0,0,,thomplo01
97,Veini Vehviläinen,23,CBJ,G,1,0,0,0,0,1,4,3,.750,5.63,0,10:40,0,,0,271,-0.6,5.63,0.0,0,0,0,0,,vehvive01
98,Artyom Zagidulin,25,CGY,G,1,0,0,0,0,2,11,9,.818,4.25,0,28:13,0,,0,197,-1.0,4.25,0.0,0,0,0,0,,zagidar01
