Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Connor Hellebuyck,27,WPG,G,45,45,24,17,3,112,1335,1223,.916,2.58,4,2602:49,25,.556,6,91,11.0,2.81,9.1,0,0,0,0,ASnhl-5Hart-19Vezina-4,helleco01
2,Jacob Markström,31,CGY,G,43,43,22,19,2,111,1161,1050,.904,2.66,3,2507:56,23,.535,8,104,-4.0,2.89,6.4,0,0,0,2,,marksja02
3,Jordan Binnington,27,STL,G,42,41,18,14,8,108,1200,1092,.910,2.65,0,2447:40,21,.512,5,98,2.6,2.89,7.3,0,1,1,2,,binnijo01
4,Andrei Vasilevskiy,26,TBL,G,42,42,31,10,1,93,1237,1144,.925,2.21,5,2523:37,24,.571,0,82,21.0,2.40,9.6,0,4,4,0,ASnhl-1Hart-7Vezina-2,vasilan02
5,Philipp Grubauer,29,COL,G,40,39,30,9,1,77,993,916,.922,1.95,7,2366:52,26,.667,5,84,14.5,2.13,7.4,0,2,2,0,ASnhl-3Byng-46Vezina-3,grubaph01
6,Tristan Jarry,25,PIT,G,39,38,25,9,3,100,1100,1000,.909,2.75,2,2185:18,24,.632,7,99,1.3,3.02,6.6,0,4,4,8,,jarrytr01
7,Kevin Lankinen,25,CHI,G,37,37,17,14,5,109,1204,1095,.909,3.01,2,2174:49,19,.514,5,98,1.9,3.31,7.3,0,2,2,2,Byng-52Calder-13,lankike01
8,Vítek Vaněček,25,WSH,G,37,36,21,10,4,95,1031,936,.908,2.69,2,2115:29,18,.500,6,100,0.0,2.95,6.1,0,0,0,0,Calder-6,vanecvi01
9,Marc-André Fleury,36,VEG,G,36,36,26,10,0,71,989,918,.928,1.98,6,2146:36,26,.722,3,78,20.1,2.15,8.0,0,1,1,2,ASnhl-2Byng-21Jennings-1Vezina-1,fleurma01
10,Juuse Saros,25,NSH,G,36,35,21,11,1,78,1073,995,.927,2.28,3,2051:48,22,.629,5,79,20.9,2.49,8.6,0,0,0,2,ASnhl-4Hart-11Vezina-6,sarosju01
11,Semyon Varlamov,32,NYI,G,36,35,19,11,4,72,1020,948,.929,2.04,7,2116:56,26,.743,4,77,22.0,2.21,8.4,0,1,1,2,ASnhl-6Vezina-5,varlasi01
12,Mackenzie Blackwood,24,NJD,G,35,35,14,17,4,106,1081,975,.902,3.04,1,2090:37,18,.514,10,106,-6.4,3.33,5.7,0,0,0,0,,blackma01
13,Thatcher Demko,25,VAN,G,35,35,16,18,1,99,1164,1065,.915,2.85,1,2086:48,19,.543,3,92,8.2,3.13,7.8,0,0,0,0,,demkoth01
14,John Gibson,27,ANA,G,35,35,9,19,7,101,1042,941,.903,2.98,3,2030:30,15,.429,7,105,-5.0,3.28,5.6,0,0,0,2,,gibsojo02
15,Calvin Petersen,26,LAK,G,35,32,9,18,5,97,1095,998,.911,2.89,0,2015:51,16,.500,3,96,3.9,3.15,6.9,0,1,1,0,,peterca01
16,Igor Shesterkin,25,NYR,G,35,31,16,14,3,83,987,904,.916,2.62,2,1899:01,20,.645,2,91,7.9,2.88,6.7,0,0,0,0,Calder-5,shestig01
17,Thomas Greiss,35,DET,G,34,29,8,15,8,79,894,815,.912,2.70,2,1755:09,17,.586,4,96,3.4,2.94,5.6,0,0,0,2,,greisth01
18,Martin Jones,31,SJS,G,34,34,15,13,4,102,980,878,.896,3.28,1,1868:25,15,.441,12,113,-11.7,3.60,4.5,0,0,0,0,,jonesma02
19,Joonas Korpisalo,26,CBJ,G,33,31,9,13,7,96,904,808,.894,3.30,0,1747:26,13,.419,8,115,-12.7,3.61,3.9,0,1,1,2,,korpijo01
20,Cam Talbot,33,MIN,G,33,33,19,8,5,86,1008,922,.915,2.63,2,1961:27,21,.636,2,93,6.9,2.88,6.7,0,0,0,0,,talboca01
21,Anton Khudobin,34,DAL,G,32,32,12,11,7,76,799,723,.905,2.54,3,1794:37,17,.531,8,103,-2.4,2.77,4.4,0,2,2,2,,khudoan01
