Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
44,Scott Wedgewood,31,DAL,G,32,28,16,7,5,85,844,759,.899,2.85,0,1789:08,13,.464,4,104,-3.4,2.95,4.5,0,0,0,0,,wedgesc01
45,Anton Forsberg,31,OTT,G,30,28,15,12,0,84,765,681,.890,3.21,2,1569:45,14,.500,10,114,-10.1,3.33,3.4,0,1,1,2,,forsban01
46,Joel Hofer,23,STL,G,30,27,15,12,1,72,830,758,.913,2.65,1,1628:39,16,.593,4,90,8.2,2.73,5.6,0,1,1,4,AR-2Calder-11,hoferjo01
47,Casey DeSmith,32,VAN,G,29,27,12,9,6,80,759,679,.895,2.89,1,1663:29,15,.556,8,109,-6.6,2.96,3.7,0,1,1,0,,desmica01
48,Semyon Varlamov,35,NYI,G,28,27,14,8,4,69,837,768,.918,2.60,3,1594:44,18,.667,1,85,11.9,2.67,6.0,0,0,0,0,,varlasi01
49,Jonathan Quick,38,NYR,G,27,26,18,6,2,69,771,702,.911,2.62,2,1582:44,12,.462,3,93,5.5,2.69,5.0,0,1,1,8,,quickjo01
50,Anthony Stolarz,30,FLA,G,27,24,16,7,2,51,684,633,.925,2.03,2,1506:27,17,.708,2,77,15.1,2.07,5.5,0,2,2,2,,stolaan01
51,Carter Hart,25,PHI,G,26,25,12,9,3,68,727,659,.906,2.80,1,1455:11,14,.560,5,97,2.3,2.89,4.4,0,1,1,0,,hartca01
52,Jonas Johansson,28,TBL,G,26,24,12,7,5,83,752,669,.890,3.37,2,1477:29,11,.458,3,114,-10.3,3.49,3.3,0,0,0,0,,johanjo03
53,James Reimer,35,DET,G,25,20,11,8,2,70,727,657,.904,3.11,2,1352:24,9,.450,1,100,0.3,3.19,4.2,0,0,0,4,,reimeja01
54,Joseph Woll,25,TOR,G,25,23,12,11,1,72,772,700,.907,2.94,0,1471:39,11,.478,4,96,2.6,3.02,4.7,0,0,0,0,AR-4,wolljo01
55,Kevin Lankinen,28,NSH,G,24,17,11,6,0,56,610,554,.908,2.82,1,1191:25,9,.529,3,95,3.0,2.92,3.8,0,1,1,0,,lankike01
56,Antti Raanta,34,CAR,G,24,20,12,7,2,63,493,430,.872,2.99,1,1265:11,8,.400,8,132,-15.3,3.08,1.3,0,0,0,0,,raantan01
57,David Rittich,31,LAK,G,24,22,13,6,3,49,621,572,.921,2.15,3,1364:31,14,.636,1,82,11.0,2.20,4.7,0,0,0,0,,rittida01
58,Daniil Tarasov,24,CBJ,G,24,23,8,11,3,73,796,723,.908,3.18,0,1376:28,13,.565,5,95,3.9,3.27,5.0,0,0,0,0,,tarasda02
59,Laurent Brossoit,30,WPG,G,23,22,15,5,2,45,620,575,.927,2.00,3,1351:02,16,.727,2,75,14.9,2.04,5.1,0,0,0,2,,brossla01
60,Devon Levi,22,BUF,G,23,21,10,8,2,67,666,599,.899,3.10,0,1294:54,10,.476,4,104,-2.6,3.20,3.6,0,0,0,0,,levide01
61,Calvin Pickard,31,EDM,G,23,20,12,7,1,53,581,528,.909,2.45,1,1296:21,10,.500,4,94,3.2,2.55,3.7,0,0,0,2,,pickaca01
62,Cayden Primeau,24,MTL,G,23,21,8,9,4,66,731,665,.910,2.99,2,1324:50,11,.524,3,93,4.7,3.08,4.7,0,2,2,2,,primeca01
63,Martin Jones,34,TOR,G,22,19,11,8,1,56,574,518,.902,2.87,2,1169:40,10,.526,2,101,-0.5,2.98,3.2,0,0,0,0,,jonesma02
64,Nico Daws,23,NJD,G,21,20,9,11,0,60,568,508,.894,3.15,0,1144:03,10,.500,6,109,-5.1,3.25,2.7,0,1,1,0,,dawsni01
65,Daniel Vladař,26,CGY,G,20,19,8,9,2,68,574,506,.882,3.62,0,1128:31,8,.421,6,123,-12.5,3.72,2.0,0,0,0,0,,vladada01
66,Ville Husso,28,DET,G,19,18,9,5,2,60,556,496,.892,3.55,0,1012:55,6,.333,5,112,-6.3,3.67,2.6,0,1,1,0,,hussovi01
67,Akira Schmid,23,NJD,G,19,15,5,9,1,48,457,409,.895,3.15,0,914:09,5,.333,4,109,-3.8,3.28,2.2,0,2,2,2,,schmiak01
68,Spencer Martin,28,2TM,G,19,16,7,9,2,59,533,474,.889,3.30,0,1072:13,7,.438,5,115,-7.5,3.36,2.3,0,0,0,0,,martisp01
68,Spencer Martin,28,CBJ,G,13,10,3,8,1,43,379,336,.887,3.65,0,707:13,3,.300,3,117,-6.4,3.73,1.5,0,0,0,0,,martisp01
68,Spencer Martin,28,CAR,G,6,6,4,1,1,16,154,138,.896,2.63,0,365:00,4,.667,2,107,-1.1,2.63,0.8,0,0,0,0,,martisp01
69,Dustin Wolf,22,CGY,G,17,15,7,7,1,50,467,417,.893,3.16,0,950:30,7,.467,2,111,-4.9,3.28,2.2,0,0,0,0,,wolfdu01
70,Frederik Andersen,34,CAR,G,16,16,13,2,0,28,410,382,.932,1.84,3,912:53,12,.750,2,71,11.6,1.91,3.5,0,1,1,0,,anderfr01
71,Justus Annunen,23,COL,G,14,12,8,4,1,30,414,384,.928,2.25,2,801:05,8,.667,0,75,10.0,2.32,3.4,0,0,0,0,,annunju01
72,Ivan Prosvetov,24,COL,G,11,8,4,3,1,26,248,222,.895,3.16,0,494:11,4,.500,3,108,-2.0,3.28,1.2,0,0,0,0,,prosviv01
73,Eric Comrie,28,BUF,G,10,10,2,7,0,32,254,222,.874,3.69,0,519:54,3,.300,5,130,-7.4,3.81,0.7,0,0,0,0,,comrier01
74,Magnus Chrona,23,SJS,G,9,8,1,6,1,37,262,225,.859,4.71,0,471:15,3,.375,5,146,-11.7,4.84,0.3,0,0,0,0,,chronma01
75,Jet Greaves,22,CBJ,G,9,8,3,6,0,30,327,297,.908,3.49,0,515:52,5,.625,2,95,1.6,3.61,2.0,0,0,0,0,,greavje01
76,Pheonix Copley,32,LAK,G,8,8,4,1,2,23,177,154,.870,3.16,1,436:17,2,.250,3,134,-5.9,3.30,0.4,0,0,0,0,,copleph01
77,Devin Cooley,26,SJS,G,6,6,2,3,1,25,192,167,.870,4.98,0,301:29,2,.333,3,135,-6.4,5.17,0.4,0,0,0,0,,coolede01
78,Jiří Patera,24,VEG,G,6,5,1,3,1,21,196,175,.893,3.98,0,316:46,2,.400,0,111,-2.1,4.17,0.9,0,0,0,0,,paterji01
79,Mads Søgaard,23,OTT,G,6,5,1,3,0,19,135,116,.859,4.05,0,281:34,1,.200,2,146,-6.0,4.26,0.2,0,0,0,0,,sogaama01
80,Matt Tomkins,29,TBL,G,6,6,3,2,1,20,185,165,.892,3.33,0,360:13,1,.167,0,112,-2.1,3.50,0.8,0,0,0,0,,tomkima01
81,Jack Campbell,32,EDM,G,5,5,1,4,0,20,157,137,.873,4.50,0,266:47,1,.200,2,132,-4.8,4.72,0.4,0,0,0,0,,campbja01
82,Calvin Petersen,29,PHI,G,5,4,2,2,0,18,132,114,.864,3.90,0,276:55,2,.500,2,141,-5.2,4.12,0.2,0,0,0,0,,peterca01
83,Felix Sandström,27,PHI,G,5,3,1,2,0,17,96,79,.823,3.87,0,263:29,1,.333,2,183,-7.7,4.10,-0.2,0,0,0,0,,sandsfe01
84,Hunter Shepard,28,WSH,G,4,4,2,1,1,13,123,110,.894,3.19,0,244:50,2,.500,2,109,-1.1,3.19,0.6,0,0,0,0,,shepahu01
85,Arturs Silovs,22,VAN,G,4,4,3,0,1,10,84,74,.881,2.47,0,243:13,2,.500,1,123,-1.9,2.47,0.3,0,0,0,0,,silovar01
86,Ivan Fedotov,27,PHI,G,3,1,0,1,1,10,53,43,.811,4.95,0,121:09,0,.000,1,195,-4.9,4.95,-0.2,0,0,0,0,,fedotiv01
87,Magnus Hellberg,32,PIT,G,3,1,1,0,0,5,64,59,.922,2.50,0,119:53,1,1.000,0,81,1.2,2.50,0.5,0,0,0,0,,hellbma01
88,Jesper Wallstedt,21,MIN,G,3,3,2,1,0,9,87,78,.897,3.01,1,179:17,2,.667,1,107,-0.6,3.01,0.4,0,0,0,0,,wallsje01
89,Yaroslav Askarov,21,NSH,G,2,1,1,0,0,2,35,33,.943,1.47,0,81:40,1,1.000,0,59,1.4,1.47,0.3,0,0,0,0,,askarya01
90,Chris Driedger,29,SEA,G,2,2,1,1,0,5,60,55,.917,2.51,0,119:35,1,.500,1,86,0.8,2.51,0.4,0,0,0,0,,driedch01
91,Georgi Romanov,24,SJS,G,2,0,0,0,0,1,30,29,.967,1.01,0,59:15,0,,0,34,1.9,1.01,0.4,0,0,0,0,,romange01
92,Matt Villalta,24,ARI,G,2,1,0,1,0,5,29,24,.828,4.17,0,71:58,0,.000,1,178,-2.2,4.17,-0.1,0,0,0,0,,villama01
93,Kenneth Appleby,28,NYI,G,1,0,0,0,0,2,8,6,.750,6.00,0,20:00,0,,0,259,-1.2,6.00,-0.1,0,0,0,0,,appleke01
94,Louis Domingue,31,NYR,G,1,1,1,0,0,1,26,25,.962,1.00,0,60:00,1,1.000,0,40,1.5,1.00,0.3,0,0,0,0,,dominlo01
95,Michael Hutchinson,33,DET,G,1,1,0,1,0,3,36,33,.917,3.11,0,57:48,1,1.000,0,86,0.5,3.11,0.3,0,0,0,0,,hutchmi01
96,Matt Murray,25,DAL,G,1,1,1,0,0,0,23,23,1.000,.00,1,60:00,1,1.000,0,0,2.2,.00,0.4,0,0,0,0,,murrama03
97,Yaniv Perets,23,CAR,G,1,0,0,0,0,0,1,1,1.000,.00,0,12:46,0,,0,0,0.1,.00,0.0,0,0,0,0,,peretya01
98,Malcolm Subban,30,CBJ,G,1,1,0,1,0,3,35,32,.914,3.00,0,60:00,1,1.000,0,89,0.4,3.00,0.2,0,0,0,0,,subbama01
