Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Juuse Saros,28,NSH,G,64,64,35,24,5,173,1845,1672,.906,2.86,3,3624:38,35,.547,11,97,5.3,2.95,11.1,0,2,2,2,ASnhl-7Vezina-5,sarosju01
2,Alexandar Georgiev,27,COL,G,63,62,38,18,5,183,1770,1587,.897,3.02,2,3637:57,27,.435,9,107,-11.9,3.12,9.0,0,2,2,4,ASGASnhl-15,georgal01
3,Connor Hellebuyck,30,WPG,G,60,60,37,19,4,142,1798,1656,.921,2.39,5,3567:20,40,.667,7,82,31.8,2.46,13.6,0,0,0,2,ASGASnhl-1Hart-6Jennings-1Vezina-1,helleco01
4,Stuart Skinner,25,EDM,G,59,57,36,16,5,147,1553,1406,.905,2.62,2,3361:21,35,.614,11,98,3.1,2.70,9.2,0,0,0,0,,skinnst01
5,Sergei Bobrovsky,35,FLA,G,58,58,36,17,4,135,1584,1449,.915,2.37,6,3414:14,37,.638,7,88,18.1,2.44,10.9,0,2,2,4,ASGASnhl-3Vezina-3,bobrose01
6,Jordan Binnington,30,STL,G,57,55,28,21,5,156,1786,1630,.913,2.84,3,3291:29,33,.600,7,90,16.6,2.93,11.9,0,3,3,8,ASnhl-5,binnijo01
7,Petr Mrázek,31,CHI,G,56,53,18,31,4,160,1724,1564,.907,3.05,1,3152:40,29,.547,7,96,6.6,3.14,10.6,0,0,0,14,,mrazepe01
8,Ilya Sorokin,28,NYI,G,56,55,25,19,12,167,1822,1655,.908,3.01,2,3325:59,34,.618,7,95,9.1,3.10,11.4,0,2,2,0,Vezina-8,sorokil01
9,Joonas Korpisalo,29,OTT,G,55,49,21,26,4,168,1523,1355,.890,3.27,0,3080:28,22,.449,11,114,-20.8,3.39,6.6,0,1,1,0,,korpijo01
10,Igor Shesterkin,28,NYR,G,55,55,36,17,2,141,1606,1465,.912,2.58,4,3277:06,32,.582,10,91,14.2,2.65,10.7,0,1,1,6,ASGASnhl-4Vezina-4,shestig01
11,Ukko-Pekka Luukkonen,24,BUF,G,54,51,27,22,4,132,1470,1338,.910,2.57,5,3081:14,34,.667,6,93,10.1,2.65,9.5,0,1,1,8,ASnhl-12,luukkuk01
12,Jake Oettinger,25,DAL,G,54,53,35,14,4,140,1476,1336,.905,2.72,3,3084:35,29,.547,10,98,2.7,2.80,8.7,0,0,0,2,ASGASnhl-9,oettija01
13,Cam Talbot,36,LAK,G,54,52,27,20,6,130,1490,1360,.913,2.50,3,3116:07,32,.615,7,90,14.0,2.58,10.0,0,3,3,4,ASGASnhl-15,talboca01
14,Andrei Vasilevskiy,29,TBL,G,52,52,30,20,2,148,1477,1329,.900,2.90,2,3062:52,27,.519,9,104,-5.2,3.00,7.9,0,2,2,2,ASnhl-10,vasilan02
15,Thatcher Demko,28,VAN,G,51,51,35,14,2,123,1492,1369,.918,2.45,5,3015:53,33,.647,8,85,21.2,2.51,10.7,0,1,1,0,ASGASnhl-2Byng-71Vezina-2,demkoth01
16,Samuel Ersson,24,PHI,G,51,49,23,19,7,132,1204,1072,.890,2.82,4,2809:28,27,.551,13,113,-15.6,2.90,5.3,0,0,0,4,AR-3Calder-10,erssosa01
17,Tristan Jarry,28,PIT,G,51,48,19,25,5,133,1369,1236,.903,2.91,6,2740:38,29,.604,12,101,-0.7,3.00,7.8,1,0,1,4,,jarrytr01
18,Joey Daccord,27,SEA,G,50,46,19,18,11,116,1374,1258,.916,2.46,3,2832:47,30,.652,5,87,16.8,2.52,9.6,0,0,0,0,ASnhl-12,daccojo01
19,Connor Ingram,26,ARI,G,50,48,23,21,3,136,1461,1325,.907,2.91,6,2802:56,27,.563,11,96,5.2,3.00,8.9,0,3,3,0,,ingraco01
20,Charlie Lindgren,30,WSH,G,50,48,25,16,7,127,1431,1304,.911,2.67,6,2852:23,29,.604,6,92,11.3,2.76,9.4,0,0,0,0,ASnhl-11Hart-12Vezina-8,lindgch01
21,Jacob Markström,34,CGY,G,48,48,23,23,2,131,1379,1248,.905,2.78,2,2831:07,26,.542,5,98,2.3,2.86,8.2,0,5,5,0,ASnhl-8,marksja02
22,John Gibson,30,ANA,G,46,44,13,27,2,151,1343,1192,.888,3.54,0,2561:29,21,.477,11,116,-21.2,3.65,5.6,0,0,0,12,,gibsojo02
23,Logan Thompson,26,VEG,G,46,42,25,14,5,119,1298,1179,.908,2.70,1,2645:28,25,.595,6,95,6.5,2.79,8.1,0,3,3,0,,thomplo01
24,Filip Gustavsson,25,MIN,G,45,43,20,18,4,129,1283,1154,.899,3.06,3,2526:33,18,.419,9,104,-5.0,3.16,6.9,0,1,1,0,,gustafi01
25,Mackenzie Blackwood,27,SJS,G,44,41,10,25,4,140,1383,1243,.899,3.45,2,2437:08,24,.585,10,105,-6.3,3.57,7.3,0,0,0,2,,blackma01
26,Lukáš Dostál,23,ANA,G,44,38,14,23,3,129,1310,1181,.902,3.33,1,2322:49,17,.447,5,102,-2.4,3.44,7.3,0,0,0,8,,dostalu01
27,Alex Lyon,31,DET,G,44,43,21,18,5,127,1325,1198,.904,3.05,2,2498:51,22,.512,8,99,1.1,3.15,7.7,0,1,1,2,,lyonal01
28,Jeremy Swayman,25,BOS,G,44,43,25,10,8,108,1287,1179,.916,2.53,3,2565:51,27,.628,5,87,16.4,2.60,9.1,0,1,1,0,ASGASnhl-6Byng-44Vezina-7,swaymje01
29,Pyotr Kochetkov,24,CAR,G,42,40,23,13,4,92,1031,939,.911,2.33,4,2371:29,23,.575,7,92,7.7,2.40,6.7,0,0,0,8,AR-1Calder-4,kochepy01
30,Elvis Merzļikins,29,CBJ,G,41,40,13,17,8,130,1266,1136,.897,3.45,1,2258:40,19,.475,6,106,-7.6,3.56,6.5,0,0,0,4,,merzlel01
31,Sam Montembeault,27,MTL,G,41,40,16,15,9,127,1307,1180,.903,3.14,0,2428:46,28,.700,6,101,-0.7,3.24,7.4,0,2,2,0,,montesa01
32,Marc-André Fleury,39,MIN,G,40,36,17,15,5,111,1056,945,.895,2.98,2,2232:40,18,.500,9,109,-8.9,3.09,5.2,0,1,1,4,Byng-9,fleurma01
33,Ilya Samsonov,26,TOR,G,40,40,23,7,8,120,1087,967,.890,3.13,3,2300:58,19,.475,9,114,-14.9,3.23,4.7,0,1,1,0,,samsoil01
34,Linus Ullmark,30,BOS,G,40,39,22,10,7,103,1207,1104,.915,2.57,2,2400:08,26,.667,3,88,13.7,2.65,8.3,0,1,1,2,ASnhl-12Byng-49Vezina-6,ullmali01
35,Alex Nedeljkovic,28,PIT,G,38,33,18,7,7,102,1039,937,.902,2.97,1,2060:28,16,.485,10,102,-1.6,3.06,5.8,0,0,0,0,,nedelal01
36,Karel Vejmelka,27,ARI,G,38,33,13,19,2,114,1089,975,.895,3.35,1,2040:08,14,.424,10,108,-8.7,3.47,5.4,0,2,2,2,,vejmeka01
37,Kaapo Kähkönen,27,2TM,G,37,33,7,24,3,116,1139,1023,.898,3.64,1,1914:13,16,.485,7,105,-5.9,3.76,5.9,0,1,1,4,,kahkoka01
37,Kaapo Kähkönen,27,SJS,G,31,27,6,20,3,105,996,891,.895,3.81,0,1651:26,13,.481,5,109,-8.7,3.96,4.8,0,1,1,4,,kahkoka01
37,Kaapo Kähkönen,27,NJD,G,6,6,1,4,0,11,143,132,.923,2.51,1,262:47,3,.500,2,80,2.8,2.51,1.1,0,0,0,0,,kahkoka01
38,Philipp Grubauer,32,SEA,G,36,34,14,16,2,95,941,846,.899,2.85,2,1996:36,15,.441,6,104,-4.0,2.95,5.0,0,1,1,4,,grubaph01
39,Adin Hill,27,VEG,G,35,35,19,12,2,89,979,890,.909,2.71,2,1968:49,19,.543,7,94,5.6,2.80,6.2,0,1,1,0,,hillad01
40,Jake Allen,33,2TM,G,34,33,12,18,4,114,1087,973,.895,3.44,0,1986:53,15,.455,8,108,-8.9,3.53,5.3,0,1,1,2,,allenja01
40,Jake Allen,33,MTL,G,21,21,6,12,3,74,686,612,.892,3.65,0,1216:20,9,.429,4,112,-7.7,3.75,3.2,0,1,1,2,,allenja01
40,Jake Allen,33,NJD,G,13,12,6,6,1,40,401,361,.900,3.11,0,770:33,6,.500,4,103,-1.2,3.19,2.2,0,0,0,0,,allenja01
41,Darcy Kuemper,33,WSH,G,33,30,13,14,3,103,940,837,.890,3.31,1,1866:32,14,.467,10,113,-12.1,3.41,4.2,0,1,1,0,,kuempda01
42,Arvid Söderblom,24,CHI,G,32,29,5,22,2,114,942,828,.879,3.92,0,1744:20,10,.345,6,125,-22.9,4.06,3.1,0,0,0,0,,soderar01
43,Vítek Vaněček,28,NJD,G,32,29,17,9,3,95,862,767,.890,3.18,0,1791:49,12,.414,8,114,-11.7,3.28,3.8,0,1,1,0,,vanecvi01
