Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
14,Igor Shesterkin,26,NYR,G,53,52,36,13,4,106,1622,1516,.935,2.07,6,3070:32,38,.731,4,70,44.9,2.11,13.6,0,1,1,2,ASnhl-1Hart-3Vezina-1,shestig01
15,Frederik Andersen,32,CAR,G,52,51,35,14,3,111,1431,1320,.922,2.17,4,3070:53,30,.588,5,83,22.1,2.23,10.2,0,4,4,0,ASGASnhl-3Byng-66Jennings-1Vezina-4,anderfr01
16,Ilya Sorokin,26,NYI,G,52,52,26,18,8,123,1643,1520,.925,2.40,7,3072:17,37,.712,7,80,29.8,2.46,12.1,0,0,0,0,ASnhl-5Vezina-6,sorokil01
17,Karel Vejmelka,25,ARI,G,52,49,13,32,3,170,1669,1499,.898,3.68,1,2773:14,22,.449,14,110,-14.8,3.81,7.7,0,0,0,0,,vejmeka01
18,Jack Campbell,30,TOR,G,49,47,31,9,6,123,1430,1307,.914,2.64,5,2795:24,28,.596,10,92,10.0,2.70,8.9,0,1,1,0,ASGByng-22,campbja01
19,Cam Talbot,34,MIN,G,49,48,32,12,4,132,1488,1356,.911,2.76,3,2864:23,28,.583,7,95,6.4,2.85,8.9,0,1,1,2,ASG,talboca01
20,Jake Oettinger,23,DAL,G,48,46,30,15,1,114,1331,1217,.914,2.53,1,2707:36,27,.587,5,92,9.8,2.59,8.4,0,2,2,0,,oettija01
21,James Reimer,33,SJS,G,48,46,19,17,10,129,1450,1321,.911,2.90,1,2672:41,30,.652,9,96,5.9,2.99,8.6,0,0,0,0,,reimeja01
22,Anton Forsberg,29,OTT,G,46,44,22,17,4,121,1457,1336,.917,2.82,1,2571:27,29,.659,5,89,14.5,2.89,9.6,0,0,0,2,,forsban01
23,Jonathan Quick,36,LAK,G,46,46,23,13,9,116,1284,1168,.910,2.59,2,2685:52,24,.522,7,97,3.4,2.66,7.5,0,1,1,6,ASnhl-11,quickjo01
24,Carter Hart,23,PHI,G,45,44,13,24,7,137,1441,1304,.905,3.16,1,2603:04,21,.477,6,102,-3.0,3.25,7.7,0,1,1,0,,hartca01
25,Mikko Koskinen,33,EDM,G,45,43,27,12,4,136,1397,1261,.903,3.10,1,2628:38,19,.442,7,105,-6.1,3.20,7.1,0,0,0,4,,koskimi01
26,Robin Lehner,30,VEG,G,44,44,23,17,2,120,1288,1168,.907,2.83,1,2546:39,20,.455,7,100,-0.2,2.90,7.1,0,1,1,10,,lehnero01
27,Ilya Samsonov,24,WSH,G,44,39,23,12,5,119,1145,1026,.896,3.02,3,2361:18,13,.333,8,112,-12.5,3.10,5.1,0,0,0,0,,samsoil01
28,Vítek Vaněček,26,WSH,G,42,39,20,12,6,103,1117,1014,.908,2.67,4,2317:23,18,.462,5,99,0.9,2.74,6.3,0,0,0,0,,vanecvi01
29,Jeremy Swayman,23,BOS,G,41,39,23,14,3,96,1111,1015,.914,2.41,3,2390:14,24,.615,5,93,7.3,2.46,6.9,0,0,0,6,AR-1Calder-5,swaymje01
30,Linus Ullmark,28,BOS,G,41,39,26,10,2,95,1140,1045,.917,2.45,1,2330:26,20,.513,3,90,11.0,2.50,7.4,0,1,1,4,,ullmali01
31,Ville Husso,26,STL,G,40,38,25,7,6,100,1236,1136,.919,2.56,2,2341:14,23,.605,3,87,15.0,2.64,8.4,0,0,0,0,ASnhl-9Vezina-7,hussovi01
32,Sam Montembeault,25,MTL,G,38,30,8,18,6,122,1124,1002,.891,3.77,1,1942:49,11,.367,7,117,-17.5,3.89,4.4,0,0,0,0,,montesa01
33,Jordan Binnington,28,STL,G,37,37,18,14,4,112,1135,1023,.901,3.13,2,2144:57,16,.432,7,106,-6.4,3.22,5.6,0,0,0,14,,binnijo01
34,Calvin Petersen,27,LAK,G,37,35,20,14,2,105,1002,897,.895,2.89,3,2176:30,20,.571,7,113,-11.8,2.98,4.3,0,0,0,2,,peterca01
35,Scott Wedgewood,29,3TM,G,37,32,13,15,6,110,1218,1108,.910,3.14,1,2104:48,14,.438,1,97,3.3,3.22,7.1,0,0,0,0,,wedgesc01
35,Scott Wedgewood,29,NJD,G,3,2,0,2,1,9,75,66,.880,3.19,0,169:26,0,.000,0,129,-2.0,3.19,0.2,0,0,0,0,,wedgesc01
35,Scott Wedgewood,29,ARI,G,26,23,10,12,2,78,878,800,.911,3.16,0,1481:26,11,.478,1,96,3.7,3.24,5.2,0,0,0,0,,wedgesc01
35,Scott Wedgewood,29,DAL,G,8,7,3,1,3,23,265,242,.913,3.04,1,453:56,3,.429,0,93,1.6,3.17,1.6,0,0,0,0,,wedgesc01
36,Kaapo Kähkönen,25,2TM,G,36,33,14,14,4,93,1056,963,.912,2.87,0,1946:57,22,.667,6,95,5.2,2.96,6.4,0,1,1,2,,kahkoka01
36,Kaapo Kähkönen,25,MIN,G,25,23,12,8,3,66,734,668,.910,2.87,0,1380:58,15,.652,5,97,2.3,2.95,4.3,0,1,1,2,,kahkoka01
36,Kaapo Kähkönen,25,SJS,G,11,10,2,6,1,27,322,295,.916,2.86,0,565:59,7,.700,1,90,2.9,2.97,2.1,0,0,0,0,,kahkoka01
37,Jake Allen,31,MTL,G,35,35,9,20,4,107,1123,1016,.905,3.30,2,1947:40,18,.514,8,102,-2.6,3.39,6.0,0,0,0,2,,allenja01
38,Martin Jones,32,PHI,G,35,33,12,18,3,114,1141,1027,.900,3.42,0,1997:08,15,.455,3,107,-7.9,3.52,5.5,0,0,0,0,,jonesma02
39,Alexandar Georgiev,25,NYR,G,33,28,15,10,2,85,832,747,.898,2.92,2,1746:06,13,.464,9,110,-7.6,2.99,3.8,0,0,0,0,,georgal01
40,Spencer Knight,20,FLA,G,32,27,19,9,3,81,876,795,.908,2.79,2,1740:14,14,.519,6,99,0.5,2.86,4.9,0,0,0,0,,knighsp01
41,Kevin Lankinen,26,CHI,G,32,29,8,15,6,106,973,867,.891,3.50,0,1815:35,12,.414,6,117,-15.5,3.60,3.8,0,1,1,0,,lankike01
42,Craig Anderson,40,BUF,G,31,31,17,12,2,97,945,848,.897,3.12,0,1867:15,14,.452,7,110,-9.1,3.21,4.3,0,1,1,0,,andercr01
43,Thomas Greiss,36,DET,G,31,28,10,15,1,92,842,750,.891,3.66,0,1507:44,14,.500,7,117,-13.7,3.78,3.3,0,1,1,2,,greisth01
44,Semyon Varlamov,33,NYI,G,31,29,10,17,2,87,978,891,.911,2.91,2,1792:17,16,.552,3,96,4.0,2.98,5.8,0,0,0,0,,varlasi01
45,Dustin Tokarski,32,BUF,G,29,28,10,12,5,91,900,809,.899,3.27,1,1671:26,13,.464,7,109,-7.3,3.37,4.2,0,0,0,0,,tokardu01
46,Antti Raanta,32,CAR,G,28,26,15,5,4,62,706,644,.912,2.45,2,1516:38,15,.577,1,94,3.7,2.53,4.3,0,0,0,0,Jennings-1,raantan01
47,Mike Smith,39,EDM,G,28,27,16,9,2,74,874,800,.915,2.81,2,1579:58,15,.556,3,91,7.3,2.89,5.6,0,1,1,6,,smithmi01
48,Anthony Stolarz,28,ANA,G,28,23,12,8,3,67,809,742,.917,2.67,3,1506:25,15,.652,2,89,8.2,2.75,5.3,0,1,1,2,,stolaan01
49,Chris Driedger,27,SEA,G,27,24,9,14,1,73,722,649,.899,2.96,1,1478:24,9,.375,3,109,-5.8,3.04,3.4,0,0,0,4,,driedch01
50,Casey DeSmith,30,PIT,G,26,24,11,6,5,66,769,703,.914,2.79,3,1418:09,12,.500,4,92,5.5,2.88,4.8,0,0,0,0,,desmica01
51,Mackenzie Blackwood,25,NJD,G,25,24,9,10,4,79,731,652,.892,3.39,2,1399:03,9,.375,2,116,-11.0,3.47,2.9,0,0,0,0,,blackma01
52,Nico Daws,21,NJD,G,25,23,10,11,1,66,617,551,.893,3.11,0,1271:32,7,.304,7,115,-8.6,3.21,2.5,0,0,0,0,,dawsni01
53,Adin Hill,25,SJS,G,25,22,10,11,1,61,648,587,.906,2.66,2,1375:57,12,.545,4,101,-0.7,2.75,3.5,0,2,2,0,,hillad01
54,Laurent Brossoit,28,VEG,G,24,21,10,9,3,62,588,526,.895,2.90,1,1281:26,10,.476,4,113,-7.3,3.00,2.5,0,0,0,0,,brossla01
55,Braden Holtby,32,DAL,G,24,22,10,10,1,61,700,639,.913,2.78,0,1318:28,13,.591,3,94,4.1,2.87,4.3,0,0,0,2,,holtbbr01
56,Daniel Vladař,24,CGY,G,23,19,13,6,2,57,608,551,.906,2.75,2,1243:08,11,.579,4,101,-0.5,2.85,3.3,0,1,1,0,,vladada01
57,Joonas Korpisalo,27,CBJ,G,22,17,7,11,0,78,634,556,.877,4.15,0,1128:29,5,.294,6,132,-19.0,4.25,1.6,0,0,0,2,,korpijo01
58,Pavel Francouz,31,COL,G,21,18,15,5,1,51,608,557,.916,2.55,2,1200:09,6,.333,1,90,5.5,2.60,3.9,0,0,0,0,,francpa01
59,Petr Mrázek,29,TOR,G,20,18,12,6,0,58,520,462,.888,3.34,0,1042:07,6,.333,4,120,-9.6,3.45,1.9,0,0,0,0,,mrazepe01
60,Matt Murray,27,OTT,G,20,20,5,12,2,60,640,580,.906,3.05,1,1181:31,12,.600,3,101,-0.5,3.15,3.5,0,0,0,0,,murrama02
61,Jon Gillies,28,2TM,G,20,15,3,10,2,62,550,488,.887,3.70,0,1004:45,6,.400,3,121,-10.8,3.82,1.9,0,1,1,0,,gillijo01
61,Jon Gillies,28,STL,G,1,1,0,0,1,3,39,36,.923,2.82,0,63:46,1,1.000,0,83,0.6,2.82,0.3,0,0,0,0,,gillijo01
61,Jon Gillies,28,NJD,G,19,14,3,10,1,59,511,452,.885,3.76,0,940:59,5,.357,3,124,-11.5,3.89,1.7,0,1,1,0,,gillijo01
62,Eric Comrie,26,WPG,G,19,16,10,5,1,44,550,506,.920,2.58,1,1024:49,10,.625,1,86,7.2,2.63,3.8,0,1,1,0,,comrier01
63,Brian Elliott,36,TBL,G,19,17,11,4,3,43,489,446,.912,2.43,1,1063:25,7,.412,2,95,2.5,2.48,3.0,0,0,0,0,,elliobr01
64,Logan Thompson,24,VEG,G,19,17,10,5,3,49,569,520,.914,2.68,1,1097:44,10,.588,2,93,3.9,2.73,3.6,0,0,0,0,,thomplo01
65,Filip Gustavsson,23,OTT,G,18,16,5,12,1,62,574,512,.892,3.55,0,1047:33,7,.438,5,116,-8.6,3.67,2.3,0,0,0,0,,gustafi01
66,Jaroslav Halák,36,VAN,G,17,14,4,7,2,39,400,361,.903,2.94,0,796:39,8,.571,2,105,-1.8,3.01,2.0,0,0,0,2,,halakja01
67,David Rittich,29,NSH,G,17,12,6,3,4,49,431,382,.886,3.57,0,822:56,4,.333,1,122,-8.9,3.65,1.5,0,0,0,2,,rittida01
68,Erik Källgren,25,TOR,G,14,12,8,4,1,43,385,342,.888,3.31,1,779:29,5,.417,3,120,-7.2,3.39,1.4,0,0,0,2,,kallger01
69,Stuart Skinner,23,EDM,G,13,12,6,6,0,32,367,335,.913,2.62,1,734:09,6,.500,2,94,2.1,2.70,2.3,0,0,0,0,,skinnst01
70,Aaron Dell,32,BUF,G,12,9,1,8,1,38,354,316,.893,4.03,0,565:23,2,.222,2,115,-5.1,4.14,1.4,0,0,0,2,,dellaa01
71,Cayden Primeau,22,MTL,G,12,9,1,7,1,40,302,262,.868,4.62,0,519:13,3,.333,6,142,-11.9,4.74,0.5,0,0,0,0,,primeca01
72,Jonas Johansson,26,2TM,G,11,8,3,4,1,39,264,225,.852,4.81,0,486:31,3,.375,4,159,-14.4,4.93,0.0,0,0,0,0,,johanjo03
72,Jonas Johansson,26,COL,G,9,6,3,2,1,24,200,176,.880,3.89,0,370:18,3,.500,2,129,-5.4,4.05,0.6,0,0,0,0,,johanjo03
72,Jonas Johansson,26,FLA,G,2,2,0,2,0,15,64,49,.766,7.74,0,116:13,0,.000,2,252,-9.0,7.74,-0.6,0,0,0,0,,johanjo03
73,Andrew Hammond,33,2TM,G,11,10,4,5,1,38,314,276,.879,3.89,0,586:28,4,.400,4,130,-8.8,3.99,0.8,0,0,0,0,,hammoan01
73,Andrew Hammond,33,MTL,G,4,3,3,0,0,8,100,92,.920,2.40,0,200:10,2,.667,0,86,1.3,2.40,0.7,0,0,0,0,,hammoan01
73,Andrew Hammond,33,NJD,G,7,7,1,5,1,30,214,184,.860,4.66,0,386:18,2,.286,4,151,-10.1,4.81,0.2,0,0,0,0,,hammoan01
74,Jonathan Bernier,33,NJD,G,10,8,4,4,1,26,264,238,.902,3.06,0,510:06,3,.375,1,106,-1.4,3.18,1.3,0,0,0,0,,bernijo01
75,Anton Khudobin,35,DAL,G,9,7,3,4,1,28,231,203,.879,3.63,0,462:28,3,.429,1,130,-6.5,3.76,0.6,0,0,0,0,,khudoan01
76,Ukko-Pekka Luukkonen,22,BUF,G,9,9,2,5,2,23,277,254,.917,2.74,0,503:04,5,.556,1,89,2.8,2.86,1.8,0,0,0,0,,luukkuk01
77,Collin Delia,27,CHI,G,8,6,1,4,1,22,218,196,.899,3.85,0,343:06,3,.500,1,109,-1.7,4.02,1.0,0,0,0,0,,deliaco01
78,Zachary Sawchenko,24,SJS,G,7,3,1,2,1,15,151,136,.901,3.35,0,268:58,2,.667,0,107,-1.0,3.35,0.7,0,0,0,0,,sawchza01
79,Jean-François Bérubé,30,CBJ,G,6,6,3,2,0,21,209,188,.900,4.12,0,305:53,4,.667,2,108,-1.6,4.32,1.0,0,1,1,0,,berubje02
80,Spencer Martin,26,VAN,G,6,6,3,0,3,11,218,207,.950,1.74,0,378:21,6,1.000,0,54,9.3,1.74,2.2,0,0,0,0,,martisp01
81,Harri Säteri,32,ARI,G,6,4,2,2,1,21,157,136,.866,4.22,0,298:22,0,.000,3,144,-6.4,4.42,0.2,0,0,0,0,,saterha01
82,Akira Schmid,21,NJD,G,6,4,0,4,0,19,114,95,.833,4.83,0,235:59,0,.000,3,179,-8.4,5.09,-0.2,0,0,0,0,,schmiak01
83,Joey Daccord,25,SEA,G,5,4,0,4,0,21,140,119,.850,4.30,0,293:13,0,.000,3,161,-8.0,4.50,0.0,0,0,0,0,,daccojo01
84,Charlie Lindgren,28,STL,G,5,4,5,0,0,5,118,113,.958,1.22,0,246:25,4,1.000,0,46,6.0,1.22,1.3,0,0,0,0,,lindgch01
85,Carey Price,34,MTL,G,5,5,1,4,0,18,148,130,.878,3.63,0,297:30,3,.600,2,131,-4.2,3.83,0.4,0,0,0,0,,priceca01
86,Felix Sandström,25,PHI,G,5,5,0,4,1,16,177,161,.910,3.23,0,297:15,3,.600,0,97,0.5,3.23,1.0,0,0,0,0,,sandsfe01
87,Lukáš Dostál,21,ANA,G,4,3,1,2,0,10,108,98,.907,2.98,0,201:27,2,.667,1,100,0.0,2.98,0.6,0,0,0,0,,dostalu01
88,Zachary Fucale,26,WSH,G,4,3,1,1,1,5,66,61,.924,1.75,1,171:35,2,.667,1,81,1.1,1.75,0.5,0,0,0,0,,fucalza01
89,Tuukka Rask,34,BOS,G,4,4,2,2,0,14,90,76,.844,4.28,0,196:21,2,.500,2,167,-5.6,4.28,-0.1,0,0,0,2,ASnhl-11,rasktu01
90,Malcolm Subban,28,BUF,G,4,3,0,2,1,17,132,115,.871,4.85,0,210:28,1,.333,1,138,-4.7,4.85,0.2,0,0,0,0,,subbama01
91,Daniil Tarasov,22,CBJ,G,4,3,0,2,0,7,111,104,.937,2.40,0,174:51,3,1.000,0,68,3.3,2.40,1.0,0,0,0,0,,tarasda02
92,Joseph Woll,23,TOR,G,4,4,3,1,0,11,123,112,.911,2.75,1,239:54,2,.500,0,96,0.4,2.75,0.7,0,0,0,2,,wolljo01
93,Carter Hutton,36,ARI,G,3,3,0,2,0,15,58,43,.741,7.76,0,115:58,1,.333,2,278,-9.6,7.76,-0.7,0,0,0,0,,huttoca01
94,Connor Ingram,24,NSH,G,3,3,1,2,0,11,91,80,.879,3.71,0,177:45,1,.333,1,130,-2.5,3.71,0.2,0,0,0,0,,ingraco01
95,Pyotr Kochetkov,22,CAR,G,3,2,3,0,0,6,61,55,.902,2.42,0,148:36,2,1.000,0,106,-0.3,2.42,0.3,0,0,0,0,,kochepy01
96,Calvin Pickard,29,DET,G,3,1,1,1,0,9,72,63,.875,4.30,0,125:38,1,1.000,0,134,-2.3,4.30,0.2,0,0,0,0,,pickaca01
97,Ivan Prosvetov,22,ARI,G,3,3,0,2,1,13,104,91,.875,4.22,0,185:00,1,.333,2,134,-3.3,4.22,0.2,0,0,0,0,,prosviv01
98,Arvid Söderblom,22,CHI,G,3,2,0,2,0,13,95,82,.863,5.01,0,155:49,0,.000,1,147,-4.2,5.01,0.1,0,0,0,0,,soderar01
99,Justus Annunen,21,COL,G,2,1,1,0,1,7,51,44,.863,4.34,0,96:46,0,.000,1,148,-2.3,4.34,0.1,0,1,1,0,,annunju01
100,Pheonix Copley,30,WSH,G,2,1,0,1,0,5,41,36,.878,3.11,0,96:35,0,.000,1,131,-1.2,3.11,0.1,0,0,0,0,,copleph01
101,Louis Domingue,29,PIT,G,2,2,1,1,0,4,83,79,.952,2.02,0,118:45,2,1.000,0,52,3.7,2.02,0.8,0,0,0,0,,dominlo01
102,Joel Hofer,21,STL,G,2,2,1,1,0,6,50,44,.880,3.07,0,117:09,0,.000,0,129,-1.3,3.07,0.1,0,1,1,0,,hoferjo01
103,Michael Houser,29,BUF,G,2,2,2,0,0,4,77,73,.948,2.00,0,120:00,2,1.000,0,56,3.2,2.00,0.7,0,0,0,0,,housemi01
104,Michael Hutchinson,31,TOR,G,2,1,0,1,0,6,42,36,.857,4.57,0,78:43,0,.000,0,154,-2.1,4.57,0.0,0,0,0,0,,hutchmi01
105,Josef Kořenář,24,ARI,G,2,0,0,0,0,3,35,32,.914,2.56,0,70:18,0,,0,92,0.3,2.56,0.2,0,0,0,0,,korenjo01
106,Jack LaFontaine,24,CAR,G,2,1,0,1,0,9,41,32,.780,7.20,0,74:57,0,.000,1,236,-5.2,7.20,-0.3,0,0,0,0,,lafonja01
107,Maxime Lagace,29,TBL,G,2,2,1,1,0,10,58,48,.828,6.11,0,98:08,0,.000,1,185,-4.6,6.11,-0.1,0,0,0,0,,lagacma01
108,Alex Lyon,29,CAR,G,2,2,1,0,1,6,65,59,.908,2.93,0,122:49,1,.500,0,99,0.0,2.93,0.4,0,0,0,0,,lyonal01
109,Garret Sparks,28,LAK,G,2,1,1,0,0,3,47,44,.936,1.85,0,97:13,1,1.000,0,69,1.4,1.85,0.4,0,0,0,0,,sparkga01
110,Mads Søgaard,21,OTT,G,2,2,1,1,0,6,54,48,.889,3.07,0,117:18,1,.500,1,119,-1.0,3.07,0.2,0,0,0,0,,sogaama01
111,Hugo Alnefelt,20,TBL,G,1,0,0,0,0,3,10,7,.700,9.00,0,20:00,0,,0,323,-2.1,9.00,-0.2,0,0,0,0,,alnefhu01
112,Michael DiPietro,22,VAN,G,1,1,0,1,0,3,17,14,.824,3.14,0,57:21,0,.000,1,190,-1.4,3.14,-0.1,0,0,0,0,,dipiemi01
113,Magnus Hellberg,30,DET,G,1,1,1,0,0,3,23,20,.870,3.00,0,60:00,0,.000,0,140,-0.9,3.00,0.0,0,0,0,0,,hellbma01
114,Thomas Hodges,28,ANA,G,1,0,0,1,0,1,3,2,.667,3.11,0,19:16,0,,0,358,-0.7,3.11,-0.1,0,0,0,0,,hodgeth01
115,Adam Huska,24,NYR,G,1,1,0,1,0,7,39,32,.821,7.04,0,59:42,0,.000,1,193,-3.4,7.04,-0.1,0,0,0,0,,huskaad01
116,Keith Kinkaid,32,NYR,G,1,1,1,0,0,2,31,29,.935,2.00,0,60:00,1,1.000,0,69,0.9,2.00,0.3,0,0,0,0,,kinkake01
117,Michael McNiven,24,MTL,G,1,0,0,0,0,3,7,4,.571,9.00,0,20:00,0,,0,461,-2.3,9.00,-0.2,0,0,0,0,,mcnivmi01
118,Cory Schneider,35,NYI,G,1,1,1,0,0,3,30,27,.900,3.00,0,60:00,0,.000,0,108,-0.2,3.00,0.1,0,0,0,0,,schneco01
119,Alex Stalock,34,SJS,G,1,1,0,1,0,6,28,22,.786,7.81,0,46:07,0,.000,1,230,-3.4,7.81,-0.2,0,0,0,0,,staloal01
