Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Juuse Saros,26,NSH,G,67,67,38,25,3,173,2107,1934,.918,2.64,4,3931:42,43,.642,8,88,23.0,2.70,14.0,0,0,0,0,ASGASnhl-4Vezina-3,sarosju01
2,Connor Hellebuyck,28,WPG,G,66,66,29,27,10,193,2155,1962,.910,2.97,4,3903:30,39,.591,10,96,7.4,3.04,12.7,0,2,2,0,,helleco01
3,Thatcher Demko,26,VAN,G,64,61,33,22,7,168,1967,1799,.915,2.72,1,3700:39,35,.574,7,92,14.9,2.79,12.4,0,2,2,2,ASGASnhl-8Vezina-7,demkoth01
4,Jacob Markström,32,CGY,G,63,63,37,15,9,137,1754,1617,.922,2.22,9,3695:50,38,.603,6,84,26.1,2.27,12.4,0,3,3,10,ASnhl-2Vezina-2,marksja02
5,Andrei Vasilevskiy,27,TBL,G,63,63,39,18,5,156,1868,1712,.916,2.49,2,3760:45,39,.619,7,90,17.7,2.55,12.2,0,1,1,6,ASGASnhl-6Vezina-5,vasilan02
6,Elvis Merzļikins,27,CBJ,G,59,56,27,23,7,178,1920,1742,.907,3.22,2,3320:07,27,.482,5,100,0.6,3.31,10.7,0,2,2,8,,merzlel01
7,Alex Nedeljkovic,26,DET,G,59,52,20,24,9,178,1796,1618,.901,3.31,4,3230:48,28,.538,10,107,-11.0,3.40,8.8,0,2,2,2,Calder-14,nedelal01
8,Tristan Jarry,26,PIT,G,58,56,34,18,6,138,1711,1573,.919,2.42,4,3415:11,35,.625,6,87,21.1,2.48,11.6,0,2,2,2,ASGASnhl-11Vezina-7,jarrytr01
9,Darcy Kuemper,31,COL,G,57,57,37,12,4,138,1754,1616,.921,2.54,5,3258:45,32,.561,7,85,25.1,2.60,12.3,0,0,0,2,ASnhl-7,kuempda01
10,John Gibson,28,ANA,G,56,56,18,26,11,172,1789,1617,.904,3.19,1,3235:35,28,.500,11,103,-5.6,3.28,9.3,0,1,1,12,ASG,gibsojo02
11,Marc-André Fleury,37,2TM,G,56,56,28,23,5,159,1732,1573,.908,2.90,4,3284:52,28,.500,15,99,2.1,3.00,9.8,0,2,2,2,Byng-25,fleurma01
11,Marc-André Fleury,37,CHI,G,45,45,19,21,5,129,1398,1269,.908,2.95,4,2626:58,22,.489,12,99,1.0,3.04,7.8,0,1,1,2,,fleurma01
11,Marc-André Fleury,37,MIN,G,11,11,9,2,0,30,334,304,.910,2.74,0,657:54,6,.545,3,97,1.1,2.83,2.0,0,1,1,0,,fleurma01
12,Philipp Grubauer,30,SEA,G,55,54,18,31,5,164,1479,1315,.889,3.16,2,3111:25,18,.333,10,119,-26.4,3.26,5.5,0,1,1,0,,grubaph01
13,Sergei Bobrovsky,33,FLA,G,54,53,39,7,3,137,1566,1429,.913,2.67,3,3082:10,33,.623,6,94,8.6,2.74,9.6,0,0,0,4,ASnhl-9,bobrose01
