Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Connor Hellebuyck,29,WPG,G,64,64,37,25,2,157,1964,1807,.920,2.49,4,3777:58,44,.688,6,83,31.1,2.51,14.3,0,0,0,0,ASGASnhl-3Byng-37Hart-11Vezina-3,helleco01
2,Juuse Saros,27,NSH,G,64,63,33,23,7,171,2099,1928,.919,2.69,2,3809:59,40,.635,9,85,30.0,2.72,14.9,0,1,1,0,ASGASnhl-4Hart-20Vezina-4,sarosju01
3,Alexandar Georgiev,26,COL,G,62,62,40,16,6,156,1904,1748,.918,2.53,5,3700:20,41,.661,6,86,26.3,2.55,13.4,0,1,1,0,ASnhl-6Vezina-7,georgal01
4,Jake Oettinger,24,DAL,G,62,61,37,11,11,144,1776,1632,.919,2.37,5,3644:53,39,.639,8,85,26.1,2.39,12.7,0,1,1,2,ASnhl-5Vezina-5,oettija01
5,Ilya Sorokin,27,NYI,G,62,60,31,22,7,140,1838,1698,.924,2.34,6,3587:04,42,.700,8,80,36.0,2.36,14.1,0,1,1,0,ASGASnhl-2Hart-9Vezina-2,sorokil01
6,Jordan Binnington,29,STL,G,61,60,27,27,6,194,1826,1632,.894,3.31,2,3516:03,27,.450,13,111,-19.2,3.36,8.4,0,2,2,29,,binnijo01
7,Andrei Vasilevskiy,28,TBL,G,60,60,34,22,4,159,1875,1716,.915,2.65,4,3596:25,35,.583,11,89,20.5,2.67,12.7,0,2,2,0,ASGASnhl-9Vezina-6,vasilan02
8,Jacob Markström,33,CGY,G,59,58,23,21,12,166,1542,1376,.892,2.92,1,3410:50,26,.448,14,112,-18.4,2.96,6.9,0,2,2,14,,marksja02
9,Igor Shesterkin,27,NYR,G,58,58,37,13,8,144,1719,1575,.916,2.48,3,3488:46,35,.603,6,87,20.6,2.49,11.8,0,1,1,2,ASGASnhl-8Vezina-8,shestig01
10,Darcy Kuemper,32,WSH,G,57,56,22,26,7,154,1674,1520,.908,2.87,5,3223:47,28,.500,7,96,6.3,2.90,10.1,0,0,0,4,,kuempda01
11,Ville Husso,27,DET,G,56,56,26,22,7,167,1603,1436,.896,3.11,4,3220:14,26,.464,17,109,-13.5,3.15,7.7,0,0,0,0,,hussovi01
12,Carter Hart,24,PHI,G,55,54,22,23,10,155,1665,1510,.907,2.94,2,3163:46,24,.444,11,97,4.4,2.98,9.9,0,0,0,0,,hartca01
13,John Gibson,29,ANA,G,53,52,14,31,8,200,1983,1783,.899,3.99,1,3004:55,25,.481,13,105,-10.1,4.07,10.2,0,2,2,12,,gibsojo02
14,Vítek Vaněček,27,NJD,G,52,48,33,11,4,119,1333,1214,.911,2.45,3,2915:34,32,.667,9,93,8.6,2.47,8.4,0,3,3,2,,vanecvi01
15,Sergei Bobrovsky,34,FLA,G,50,49,24,20,3,145,1466,1321,.901,3.07,1,2834:22,30,.612,10,103,-4.6,3.11,7.8,0,0,0,2,,bobrose01
16,Stuart Skinner,24,EDM,G,50,48,29,14,5,133,1536,1403,.913,2.75,1,2903:05,29,.604,9,90,14.1,2.77,10.1,0,2,2,0,ASGAR-1Calder-2,skinnst01
